epoch,train_loss,train_cost,learning_rate,temperature,val_cost
1,6.970334053039551,0.4910183494974485,5e-05,3.5,
2,-4.280229091644287,0.4978961195806919,4.998791072896043e-05,3.5,
3,-4.331064224243164,0.49737877278785964,4.995165484649266e-05,3.5,
4,-4.1016106605529785,0.5002961099554244,4.989126813277547e-05,3.5,0.4742188755223709
5,-4.431046009063721,0.5030795856725925,4.980681018220472e-05,3.5,
6,-3.900547981262207,0.4885612574891568,4.9698364344580884e-05,3.5,
7,-4.013293266296387,0.4860875373319332,4.9566037642852884e-05,3.5,
8,-3.9475717544555664,0.49637686089216293,4.940996066749932e-05,3.5,0.4659483836498084
9,-4.093272686004639,0.4887182046235192,4.923028744765147e-05,3.5,
10,-4.085887432098389,0.4978733430311126,4.9027195299085115e-05,3.5,
11,-3.6755664348602295,0.49530497035460797,4.880088464923127e-05,3.5,
12,-3.9770565032958984,0.4929900719236076,4.855157883937853e-05,3.5,0.4674268681643454
13,-4.080111503601074,0.4904565311938318,4.8279523904262166e-05,3.5,
14,-3.918513774871826,0.4861551182552833,4.798498832925754e-05,3.5,
15,-3.9737701416015625,0.5012091101956845,4.766826278541748e-05,3.5,
16,-4.040533542633057,0.5004759298059458,4.7329659842615016e-05,3.5,0.4652773968496482
17,-3.985414981842041,0.5019890133204188,4.696951366107466e-05,3.5,
18,-3.923856258392334,0.4966275702224413,4.658817966159662e-05,2.625,
19,-3.84187650680542,0.49658150824302116,4.618603417479937e-05,2.625,
20,-3.5453734397888184,0.47645530499374966,4.576347406972677e-05,2.625,0.46985014773433953
21,-3.6201789379119873,0.4835332584525327,4.532091636218622e-05,2.625,
22,-3.840627670288086,0.4955136869707899,4.4858797803204417e-05,3.28125,
23,-3.9468133449554443,0.4967598413222639,4.437757444800684e-05,3.28125,
24,-3.8787143230438232,0.49196167113212425,4.387772120594626e-05,3.28125,0.46974534811613045
25,-3.797471523284912,0.4901297466265887,4.335973137182458e-05,3.28125,
26,-3.9314498901367188,0.4940326095450437,4.282411613907041e-05,3.5,
27,-3.873293161392212,0.4823949271352989,4.227140409525287e-05,3.5,
28,-3.9604034423828125,0.4838218365438405,4.1702140700429465e-05,3.5,0.4694815003588423
29,-4.096688747406006,0.5073654385900245,4.111688774884289e-05,3.5,
30,-3.8105874061584473,0.5025522270511513,4.051622281449792e-05,3.5,
31,-3.894463539123535,0.4976612751605134,3.990073868116559e-05,3.5,
32,-3.6465768814086914,0.48524091110507556,3.92710427573772e-05,3.5,0.4693100130111156
33,-3.73348331451416,0.4904455239000879,3.862775647698541e-05,3.5,
34,-3.5945353507995605,0.48981067730381334,3.7971514685884094e-05,3.5,
35,-3.4184529781341553,0.48205450591339327,3.730296501549202e-05,3.5,
36,-3.6203055381774902,0.4909127759731123,3.662276724361889e-05,3.5,0.4714612849312378
37,-3.480563163757324,0.4786800673261692,3.593159264334427e-05,3.5,
38,-3.4261701107025146,0.48546188010811975,3.5230123320552114e-05,3.5,
39,-3.706813335418701,0.4999291863965212,3.4519051540774604e-05,3.5,
40,-3.5390625,0.5006944072036685,3.379907904600963e-05,3.5,0.46878044196063834
41,-3.58349609375,0.4838957249180646,3.3070916362186205e-05,3.5,
42,-3.6964118480682373,0.4970736907149015,3.2335282097961115e-05,3.5,
43,-3.329028606414795,0.4926631820838582,3.159290223553893e-05,3.5,
44,-3.3367929458618164,0.49211857392838326,3.084450941421529e-05,3.5,0.4698836787645317
45,-3.405829429626465,0.48638393871462987,3.0090842207350252e-05,3.5,
46,-3.0643558502197266,0.4926909065105641,2.9332644393485654e-05,2.625,
47,-3.0170247554779053,0.48084531432314054,2.8570664222325456e-05,2.625,
48,-3.3821253776550293,0.4951361101178954,2.7805653676303596e-05,2.625,0.46688339135986645
49,-3.26055645942688,0.4782899703336917,2.7038367728468177e-05,2.625,
50,-2.908008575439453,0.48786273140682346,2.6269563597414142e-05,1.96875,
51,-2.921755313873291,0.4823640182474101,2.55e-05,1.96875,
52,-3.017549753189087,0.49088849315012095,2.4730436402585857e-05,1.96875,0.4682626907237006
53,-2.9883508682250977,0.4831462798207432,2.3961632271531822e-05,1.96875,
54,-2.5483226776123047,0.4731992017508502,2.3194346323696397e-05,1.4765625,
55,-2.721386671066284,0.4759040983063604,2.2429335777674547e-05,1.4765625,
56,-2.472790241241455,0.4749455109639916,2.1667355606514343e-05,1.4765625,0.4703153603067934
57,-2.667391777038574,0.4848984019972463,2.0909157792649748e-05,1.4765625,
58,-2.7199885845184326,0.49012173610843424,2.0155490585784716e-05,1.845703125,
59,-2.824903964996338,0.4802770761610082,1.9407097764461056e-05,1.845703125,
60,-3.057042360305786,0.49892455367112,1.8664717902038885e-05,1.845703125,0.47049398683356075
61,-2.976773500442505,0.49476085108874207,1.7929083637813794e-05,1.845703125,
62,-2.996861696243286,0.4864324447353869,1.720092095399036e-05,2.30712890625,
63,-2.8308863639831543,0.4919067459269209,1.6480948459225395e-05,2.30712890625,
64,-2.980006456375122,0.47928497928824565,1.576987667944787e-05,2.30712890625,0.46777926821063065
65,-2.958314895629883,0.4892465284390688,1.5068407356655717e-05,2.30712890625,
66,-3.1318109035491943,0.49287974196925965,1.4377232756381102e-05,2.8839111328125,
67,-2.743807554244995,0.477963724865962,1.369703498450797e-05,2.8839111328125,
68,-2.780299663543701,0.48753289412646783,1.30284853141159e-05,2.8839111328125,0.470080272327513
69,-2.9180781841278076,0.4850721978823722,1.2372243523014575e-05,2.8839111328125,
70,-2.748889923095703,0.48767035613775517,1.1728957242622797e-05,2.162933349609375,
71,-2.8089699745178223,0.4932168507844447,1.109926131883441e-05,2.162933349609375,
72,-2.78981876373291,0.4878784596107028,1.0483777185502072e-05,2.162933349609375,0.4694344248089992
73,-2.7976818084716797,0.48758047857044085,9.8831122511571e-06,2.162933349609375,
74,-2.83591628074646,0.4892679406443249,9.297859299570533e-06,2.7036666870117188,
75,-2.8594918251037598,0.4929215576238285,8.728595904747126e-06,2.7036666870117188,
76,-2.6387739181518555,0.485636802211126,8.175883860929586e-06,2.7036666870117188,0.47175626675750193
77,-2.6313650608062744,0.4892258012723961,7.640268628175422e-06,2.7036666870117188,
78,-2.687530279159546,0.48771304870602816,7.1222787940537395e-06,3.3795833587646484,
79,-2.859943151473999,0.4981479000416975,6.622425551993166e-06,3.3795833587646484,
80,-2.822234630584717,0.49297775202848526,6.141202196795585e-06,3.3795833587646484,0.46894922080745766
81,-2.8587539196014404,0.48683777625774627,5.67908363781379e-06,3.3795833587646484,
82,-2.913116216659546,0.4893610707387871,5.236525930273237e-06,3.5,
83,-2.5691277980804443,0.49427418308575605,4.813965825200636e-06,3.5,
84,-2.8697235584259033,0.48709041223347693,4.411820338403378e-06,3.5,0.4709980717373182
85,-2.7590787410736084,0.4916699643743323,4.030486338925343e-06,3.5,
86,-2.6653497219085693,0.4906345269629334,3.67034015738499e-06,2.625,
87,-2.4075610637664795,0.48622300024009335,3.331737214582527e-06,2.625,
88,-2.553454875946045,0.48738002746850406,3.0150116707424685e-06,2.625,0.4716327243432145
89,-2.4897091388702393,0.49012297842751135,2.720476095737843e-06,2.625,
90,-2.4282851219177246,0.48888567015053697,2.448421160621477e-06,3.28125,
91,-2.5792465209960938,0.48536659781877334,2.199115350768739e-06,3.28125,
92,-2.691326379776001,0.49002978006768577,1.9728047009148977e-06,3.28125,0.47537715029305105
93,-2.4143052101135254,0.47916612401255704,1.7697125523485413e-06,3.28125,
94,-2.5869457721710205,0.48287662269462733,1.5900393325006905e-06,3.5,
95,-2.551182508468628,0.4757991436667757,1.4339623571471263e-06,3.5,
96,-2.661303758621216,0.492520185965715,1.3016356554191274e-06,3.5,0.4724777418079421
97,-2.316011905670166,0.4842084099470613,1.1931898177952948e-06,3.5,
98,-2.432847738265991,0.4935268970015934,1.1087318672245401e-06,3.5,
99,-2.815948963165283,0.5024459229416454,1.0483451535073469e-06,3.5,
100,-2.6706576347351074,0.49122947058008526,1.0120892710395759e-06,3.5,0.4715056920341858
101,-2.584404706954956,0.49561698945979915,1e-06,3.5,0.4725323576783999
