epoch,train_loss,train_cost,val_cost,learning_rate,temperature,baseline_type,baseline_value
0,2.6880542437235513,0.518613819912724,0.6726307104157662,0.0001,3.5,rollout,0.6696959733963013
1,1.9078648885091145,0.5148121042674325,,9.997557473810373e-05,3.5,rollout,0.673866331577301
2,1.8850332816441855,0.517399271123525,,9.990232305719946e-05,3.5,rollout,0.6739300489425659
3,1.8507840236028035,0.5152292726971901,,9.978031724785248e-05,3.5,rollout,0.6726218461990356
4,1.9399242003758748,0.5196792451051282,0.6768642481850462,9.960967771506668e-05,3.5,rollout,0.6725269556045532
5,1.856103738149007,0.5151334961129933,,9.939057285945934e-05,3.5,rollout,0.6689573526382446
6,1.8968043406804402,0.5206834879480683,,9.912321891107012e-05,3.5,rollout,0.6717759966850281
7,1.8794095118840535,0.5142004541443652,,9.880787971596802e-05,3.5,rollout,0.6693969964981079
8,1.797864309946696,0.5144023773368324,0.6687154352147452,9.844486647586726e-05,3.5,rollout,0.6688776612281799
9,1.9358607371648153,0.5182081520101847,,9.80345374410087e-05,3.5,rollout,0.6694458723068237
10,1.8460926771163941,0.5176173880769653,,9.757729755661012e-05,3.5,rollout,0.6709057688713074
11,1.8849916060765584,0.5184628428983639,,9.707359806323419e-05,3.5,rollout,0.6701594591140747
12,1.8791539589564006,0.5100383908372892,0.6746012178768976,9.652393605146847e-05,3.5,rollout,0.6715938448905945
13,1.8918030897776286,0.5185617714258726,,9.592885397135708e-05,3.5,rollout,0.6683553457260132
14,1.8836640040079753,0.514315926339786,,9.5288939097068e-05,3.5,rollout,0.6712665557861328
15,1.861572551727295,0.5173063971995175,,9.460482294732424e-05,3.5,rollout,0.6698325276374817
16,1.8733123381932577,0.515790773520947,0.6727939848164438,9.387718066217127e-05,3.5,rollout,0.6694556474685669
17,1.8146544138590495,0.5157467414476248,,9.310673033669524e-05,2.625,rollout,0.6704007387161255
18,1.8006838798522948,0.5194124651783889,,9.229423231234978e-05,2.625,rollout,0.6735513806343079
19,1.8737784544626872,0.5161532422870345,,9.144048842659084e-05,2.625,rollout,0.6736426949501038
20,1.8454024235407511,0.5198959307235613,0.6748476260500015,9.054634122155993e-05,2.625,rollout,0.6732556223869324
21,1.8804398059844971,0.5211334895392554,,8.96126731125967e-05,3.28125,rollout,0.6728932857513428
22,1.8830230236053467,0.5126685091868081,,8.864040551740159e-05,3.28125,rollout,0.6733613610267639
