epoch,train_loss,train_cost,val_cost,learning_rate,temperature,baseline_type,baseline_value
0,1.682588305129684e-07,0.7862840183169357,0.7708601691512965,0.0003,5.0,rollout,0.8217666745185852
1,5.466739025905554e-08,0.762792865625572,,0.0002998847409179881,5.0,rollout,
2,3.7041190381614794e-08,0.7890628655785628,,0.0002995391413931026,5.0,rollout,0.8235257267951965
3,4.138439635426039e-08,0.7677598031933335,,0.00029896373431476147,5.0,rollout,
4,1.980230024400953e-08,0.7797455703102132,0.792973757591926,0.00029815940691897306,5.0,rollout,0.8240268230438232
5,3.1110457499039515e-08,0.7786324218141797,,0.00029712739942028293,5.0,rollout,
6,3.5559625999326273e-08,0.7856093488834988,,0.00029586930309945264,5.0,rollout,0.8198148608207703
7,4.5471386300732776e-08,0.7874557108428442,,0.00029438705784982027,5.0,rollout,
8,3.842633446993204e-08,0.7838596806462164,0.7829464970767233,0.0002926829491861255,5.0,rollout,0.8197106719017029
9,3.2837523455953034e-08,0.7883313699002532,,0.0002907596047204114,5.0,rollout,
10,3.552595106981471e-08,0.784578729936481,,0.00028861999011043737,5.0,rollout,0.8169078826904297
11,4.649503537734745e-08,0.7703794361201515,,0.00028626740448684966,5.0,rollout,
12,3.172454405842018e-08,0.7845697266596867,0.7785858488743214,0.00028370547536616097,5.0,rollout,0.81629478931427
13,3.545663211923511e-08,0.7744185844103217,,0.0002809381530573832,5.0,rollout,
14,2.5053457974877347e-08,0.7947181307372617,,0.0002779697045709368,5.0,rollout,0.8233522176742554
15,3.0303816789256643e-08,0.7754452286485293,,0.00027480470703923057,5.0,rollout,
16,4.703310025888641e-08,0.785618055636305,0.7759801426513506,0.00027144804065905466,5.0,rollout,0.8181694149971008
17,5.092207233658996e-08,0.7798504198852237,,0.0002679048811666714,4.25,rollout,
18,6.383706576684745e-08,0.7696327099791496,,0.0002641806918572047,4.25,rollout,0.8111509084701538
19,4.377453919346408e-08,0.7687899314193299,,0.00026028121516063503,4.25,rollout,
20,2.194638462071907e-08,0.8002446750797759,0.7879568738193189,0.0002562124637873889,4.25,rollout,0.8106436729431152
21,4.291644497556035e-08,0.7782474489226325,,0.00025198071145717487,3.6125,rollout,
22,4.200553433975074e-08,0.7748431405832636,,0.00024759248322536254,3.6125,rollout,0.8133029341697693
23,6.173162745426452e-08,0.7597574172977135,,0.0002430545454218202,3.6125,rollout,
24,4.4876575699959175e-08,0.7871339556189099,0.7805888718541923,0.00023837389521772477,3.6125,rollout,0.8120726346969604
25,3.2031163144097265e-08,0.7684817160622336,,0.00023355774983643056,4.154374999999999,rollout,
26,4.900970438370678e-08,0.7824387076978734,,0.00022861353542503438,4.154374999999999,rollout,0.8146836757659912
27,2.8657488115868545e-08,0.7800926994537756,,0.00022354887560379483,4.154374999999999,rollout,
28,2.1015643625332813e-08,0.7685924904299093,0.7516019271124781,0.00021837157971106228,4.154374999999999,rollout,0.8164820671081543
29,4.918246823137906e-08,0.7733869532918523,,0.00021308963076184555,3.531218749999999,rollout,
30,3.149187435269596e-08,0.7873590797824871,,0.00020771117313858096,3.531218749999999,rollout,0.8088415861129761
31,5.4610864452797617e-08,0.7825541524948975,,0.00020224450003308525,3.531218749999999,rollout,
32,2.8313742284069577e-08,0.7905739566978486,0.7554113347167262,0.0001966980406590547,3.531218749999999,rollout,0.8088638186454773
33,3.586291370538675e-08,0.7797059793898611,,0.00019108034725482865,3.001535937499999,rollout,
34,2.8693259057632758e-08,0.7770466100698227,,0.0001854000818964579,3.001535937499999,rollout,0.8080937266349792
35,3.3292573675680616e-08,0.7967080919440346,,0.00017966600314141124,3.001535937499999,rollout,
36,3.710725291483641e-08,0.7826774606404004,0.7597824246455549,0.00017388695252351457,3.001535937499999,rollout,0.8079047203063965
37,4.8826118614897494e-08,0.7777199078066996,,0.0001680718409199468,2.551305546874999,rollout,
38,4.000517459523678e-08,0.7619744550575697,,0.00016222963481131287,2.551305546874999,rollout,0.8128863573074341
39,3.46776996451581e-08,0.7751408705563494,,0.0001563693424559808,2.551305546874999,rollout,
40,3.2691568918608026e-08,0.7911231163535731,0.766089508462231,0.00015050000000000003,2.551305546874999,rollout,0.8067291975021362
41,3.75579888078903e-08,0.7892376248713766,,0.00014463065754401932,2.168609714843749,rollout,
42,3.771124497120582e-08,0.7773088500434344,,0.00013877036518868723,2.168609714843749,rollout,0.8019005060195923
43,4.697913063012038e-08,0.7824319516918667,,0.00013292815908005334,2.168609714843749,rollout,
44,5.359144132910387e-08,0.783332957665713,0.7653452845618269,0.00012711304747648557,2.168609714843749,rollout,0.8032779693603516
45,2.937157024263115e-08,0.7856122139863126,,0.00012133399685858888,2.4939011720703115,rollout,
46,4.2869687177926605e-08,0.7755611846605802,,0.0001155999181035422,2.4939011720703115,rollout,0.8037850856781006
47,3.427425410151841e-08,0.7721170256593008,,0.00010991965274517141,2.4939011720703115,rollout,
48,5.5316930414051055e-08,0.7720307480198109,0.7654595568714277,0.0001043019593409454,2.4939011720703115,rollout,0.7979407906532288
49,5.249265804252445e-08,0.7645129017824012,,9.875549996691486e-05,2.867986347880858,rollout,
50,5.248045980010829e-08,0.7869107076410733,,9.328882686141912e-05,2.867986347880858,rollout,0.798517644405365
51,3.4067478438259966e-08,0.7833273507583314,,8.791036923815458e-05,2.867986347880858,rollout,
52,4.5076350829731385e-08,0.796376240263169,0.793273053625529,8.26284202889378e-05,2.867986347880858,rollout,0.7957510352134705
53,3.959818748455746e-08,0.780945085956979,,7.745112439620525e-05,3.2981843000629865,rollout,
54,4.0742941109783716e-08,0.7852331525762324,,7.238646457496569e-05,3.2981843000629865,rollout,0.7999577522277832
55,3.093854612501446e-08,0.7884279263602322,,6.744225016356949e-05,3.2981843000629865,rollout,
56,3.5204438120217675e-08,0.7697574424370817,0.8103036044734042,6.262610478227531e-05,3.2981843000629865,rollout,0.8042109608650208
57,3.6152268201306013e-08,0.7806662731967016,,5.794545457817988e-05,3.7929119450724342,rollout,
58,5.474067172883679e-08,0.7707990642129188,,5.340751677463759e-05,3.7929119450724342,rollout,0.8027498126029968
59,4.330945770902872e-08,0.7785651136823498,,4.901928854282526e-05,3.7929119450724342,rollout,
60,4.35528811237873e-08,0.7768557367310978,0.7911762578879283,4.4787536212611175e-05,3.7929119450724342,rollout,0.8037428259849548
61,4.0820037838784626e-08,0.7867209746404432,,4.071878483936501e-05,4.361848736833299,rollout,
62,2.5693119809488962e-08,0.7798529774878491,,3.681930814279539e-05,4.361848736833299,rollout,0.8034541010856628
63,3.417423970475397e-08,0.7829666704722239,,3.309511883332863e-05,4.361848736833299,rollout,
64,4.262218951112118e-08,0.780150885191605,0.7722968042055056,2.9551959340945387e-05,4.361848736833299,rollout,0.8029083013534546
65,3.908393289009382e-08,0.7806446110234739,,2.619529296076953e-05,5.0,rollout,
66,3.321565955616279e-08,0.793847582104579,,2.3030295429063227e-05,5.0,rollout,0.8092995285987854
67,1.880678297538907e-08,0.7856484871840055,,2.0061846942616862e-05,5.0,rollout,
68,5.7653278418001716e-08,0.762943052453231,0.7393751677967003,1.729452463383902e-05,5.0,rollout,0.8064219951629639
69,4.1495390235013474e-08,0.7835211231648164,,1.4732595513150342e-05,4.25,rollout,
70,4.846946168868271e-08,0.7758723810455193,,1.2380009889562637e-05,4.25,rollout,0.8031379580497742
71,3.630890255124086e-08,0.7795981411426743,,1.0240395279588622e-05,4.25,rollout,
72,5.0630221437586444e-08,0.7742760256947578,0.7693421339125781,8.31705081387455e-06,4.25,rollout,0.7982581853866577
73,4.332006042773173e-08,0.7803350360037786,,6.612942150179751e-06,3.6125,rollout,
74,5.4371397695263114e-08,0.7875381340709869,,5.130696900547356e-06,3.6125,rollout,0.7951996922492981
75,2.922914923431108e-08,0.7831263209758227,,3.872600579717052e-06,3.6125,rollout,
76,2.4855927360789565e-08,0.7882305644132144,0.7569487599547383,2.840593081026921e-06,3.6125,rollout,0.7977719306945801
77,2.958961626831069e-08,0.7878278125668942,,2.0362656852385196e-06,3.0706249999999997,rollout,
78,3.701352824236892e-08,0.7977274742101027,,1.4608586068973696e-06,3.0706249999999997,rollout,0.8035291433334351
79,3.5119730767974035e-08,0.7890791715470333,,1.1152590820119264e-06,3.0706249999999997,rollout,
80,1.3247879415700935e-08,0.7896264606593727,0.8054212208840841,1e-06,3.0706249999999997,rollout,0.8031290769577026
