epoch,train_loss,train_cost_geometric,val_cost_geometric,learning_rate,temperature,baseline_type,baseline_value,mean_type
0,-0.43059907386700313,0.6927597325317841,0.6986951354112497,0.0001,2.5,rollout,0.6903877258300781,geometric
1,-0.42046177844206495,0.6907624434269495,,9.99321619703514e-05,2.5,rollout,0.6589391231536865,geometric
2,-0.5019517021377882,0.6598024038090387,0.6212854997974759,9.972883382072952e-05,2.5,rollout,0.6241122484207153,geometric
3,-0.37094633266329763,0.6233137276283592,,9.939057285945931e-05,2.5,rollout,0.6192981004714966,geometric
4,-0.46175339301427204,0.6104063940802618,0.6024908754087831,9.891830623632337e-05,2.5,rollout,0.6080236434936523,geometric
5,-0.4505037709077199,0.6025408556422236,,9.831332840130886e-05,2.5,rollout,0.6003618240356445,geometric
6,-0.4295614266395569,0.595744228732352,0.5889716044901955,9.75772975566101e-05,2.5,rollout,0.5987863540649414,geometric
7,-0.4159782905379931,0.5885972948065075,,9.671223111161148e-05,2.5,rollout,0.579900860786438,geometric
8,-0.36338675091663997,0.5631683518228652,0.5421141090640627,9.572050015330873e-05,2.5,rollout,0.5507016181945801,geometric
9,-0.23999545065065225,0.5438188969385191,,9.46048229473242e-05,2.0500000000000003,rollout,0.5415674448013306,geometric
10,-0.2330150462935368,0.5357882677463064,0.5378397276696173,9.336825748732971e-05,2.0500000000000003,rollout,0.5366860628128052,geometric
11,-0.24155793299277623,0.5337450073027867,,9.201419311329847e-05,1.6810000000000003,rollout,0.5359669923782349,geometric
12,-0.21155808632572493,0.5296339351994208,0.5295953340550141,9.054634122155987e-05,1.6810000000000003,rollout,0.5335643291473389,geometric
13,-0.1875628269215425,0.5292890013186097,,8.896872509212005e-05,1.3784200000000004,rollout,0.5341172218322754,geometric
14,-0.174958048115174,0.5271519531522932,0.5249439193684432,8.7285668861131e-05,1.3784200000000004,rollout,0.5340783596038818,geometric
15,-0.1222122585773468,0.5261899329740805,,8.550178566873408e-05,1.1303044000000004,rollout,0.5340132713317871,geometric
16,-0.1121889582524697,0.5253770145453298,0.5198832310698855,8.362196501476346e-05,1.1303044000000004,rollout,0.533151388168335,geometric
17,-0.079108860095342,0.5248899834433003,,8.165135935696692e-05,0.9268496080000004,rollout,0.5329333543777466,geometric
18,-0.1432105862845977,0.5255475038081873,0.5248191368178378,7.95953699884774e-05,0.9268496080000004,rollout,0.532700777053833,geometric
19,-0.10845747629801432,0.5237951708509163,,7.74596322332438e-05,0.7600166785600003,rollout,0.5328563451766968,geometric
20,-0.10345200844109058,0.5227978424468452,0.5170419306647982,7.524999999999997e-05,0.7600166785600003,rollout,0.5331365466117859,geometric
21,-0.10089011034617822,0.5241634874521555,,7.297252973710754e-05,0.6232136764192003,rollout,0.5331951975822449,geometric
22,-0.08506080797562997,0.5225400788497004,0.5181412731996973,7.063346383225209e-05,0.6232136764192003,rollout,0.5333142280578613,geometric
23,-0.06597450394183398,0.522975074831458,,6.823921350249236e-05,0.5110352146637444,rollout,0.5332193970680237,geometric
24,-0.0722279059390227,0.5215669069385549,0.5275539145688246,6.579634122155988e-05,0.5110352146637444,rollout,0.5337276458740234,geometric
25,-0.034735783375799655,0.5200902254321511,,6.331154273257476e-05,0.4190488760242704,rollout,0.5337051153182983,geometric
26,-0.03479052420084675,0.5203744246176072,0.5243631530507991,6.079162869547906e-05,0.4190488760242704,rollout,0.5338479280471802,geometric
27,-0.036284371117750805,0.5203613961016433,,5.824350601949141e-05,0.49447767370863904,rollout,0.5308438539505005,geometric
