epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.09958759497106075,0.5750013597011566,0.5489717268501408,0.0001,2.4995468881448666,1460.8491678237915,rollout,0.5490342378616333,arithmetic
1,-0.018191642762161793,0.5350124399363995,,9.997557473810373e-05,2.5,1584.5606746673584,rollout,,arithmetic
2,-0.05247456323634833,0.4651784853935242,0.4414884584839456,9.990232305719946e-05,2.4995468881448666,1457.070995092392,rollout,0.44840338826179504,arithmetic
3,-0.0426922774259001,0.44853702348470686,,9.978031724785248e-05,2.498188008824696,1466.1496078968048,rollout,,arithmetic
4,-0.021197905810549856,0.4425898296236992,0.43037631030892953,9.960967771506668e-05,2.4959247303157763,1487.207061290741,rollout,0.4382551610469818,arithmetic
5,-0.016717242206446825,0.4395198912322521,,9.939057285945934e-05,2.492759331547716,1475.6108593940735,rollout,,arithmetic
6,-0.016155206001363696,0.43769605591893196,0.4317256231443025,9.912321891107012e-05,2.4886949998087546,1490.6932187080383,rollout,0.4347204566001892,arithmetic
7,-0.008950480716302991,0.43698336777091024,,9.880787971596802e-05,2.483735827536436,1521.7730672359467,rollout,,arithmetic
8,-0.009388874697964638,0.43548349034786227,0.42794944017077796,9.844486647586726e-05,2.4778868081968666,1472.6978240013123,rollout,0.43472039699554443,arithmetic
9,-0.007744871192146093,0.4346812428832054,,9.80345374410087e-05,2.4711538312567205,1443.6557013988495,rollout,,arithmetic
10,-0.031162721280939876,0.43433993458747866,0.4328034651116468,9.757729755661012e-05,2.463543676253048,1462.3797171115875,rollout,0.4341524839401245,arithmetic
11,-0.006899237597826869,0.43342657026648523,,9.707359806323419e-05,2.4550640059668507,1446.7123095989227,rollout,,arithmetic
12,-0.03757951473630965,0.4326065768301487,0.4303373503207695,9.652393605146847e-05,2.4457233587073173,1434.8654680252075,rollout,0.43468061089515686,arithmetic
13,-0.019635193045251072,0.43178041964769365,,9.592885397135708e-05,2.435531139714465,1435.3431305885315,rollout,,arithmetic
14,-0.017697266599629075,0.43146108013391493,0.4305393638496753,9.5288939097068e-05,2.424497611688863,1449.1603710651398,rollout,0.4347418248653412,arithmetic
15,-0.012803532767109573,0.43092007738351823,,9.460482294732424e-05,2.4126338844579593,1428.8171610832214,rollout,,arithmetic
16,-0.013738011887297034,0.42993019756674766,0.4256865359202493,9.387718066217127e-05,2.399951903789431,1425.460565328598,rollout,0.43281716108322144,arithmetic
17,-0.004702020776458085,0.4293944728970528,,9.310673033669524e-05,2.3864644393628067,1433.068397283554,rollout,,arithmetic
18,-0.018509635234251618,0.42844467994570734,0.4259632464963943,9.229423231234978e-05,2.3721850719114794,1420.8214275836945,rollout,0.4274495542049408,arithmetic
19,-0.006633334605488926,0.427359140843153,,9.144048842659084e-05,2.357128179548063,1417.1156167984009,rollout,,arithmetic
20,-0.011410757474601269,0.4261592338383198,0.42154596134787425,9.054634122155993e-05,2.3413089232868494,1428.9198904037476,rollout,0.4275355935096741,arithmetic
21,-0.006351372473407536,0.4254948485791683,,8.961267311259669e-05,2.324743231777953,1448.2155306339264,rollout,,arithmetic
22,-0.003627579854801297,0.4246575534939766,0.41835682408418506,8.864040551740159e-05,2.3074477852685087,1432.7292759418488,rollout,0.42360061407089233,arithmetic
23,-0.015424759780056774,0.4243961367607117,,8.763049794670778e-05,2.2894399988070804,1435.6933240890503,rollout,,arithmetic
24,0.003028809061739594,0.42379309618473054,0.4283702895336319,8.65839470573599e-05,2.2707380047081793,1441.0428779125214,rollout,0.4240352511405945,arithmetic
25,-0.019412633577361702,0.42308036288619044,,8.550178566873413e-05,2.251360634294563,1444.757687330246,rollout,,arithmetic
26,0.0005000662854872644,0.42252208849787715,0.42425064474809915,8.438508174347012e-05,2.231327398935689,1455.5797934532166,rollout,0.4230983257293701,arithmetic
27,0.006299986348021775,0.4224530684351921,,8.32349373335208e-05,2.2106584704014187,1429.9318189620972,rollout,,arithmetic
28,-0.009183082846924663,0.4222164568603039,0.4149784857290797,8.205248749256017e-05,2.1893746605507567,1431.142567873001,rollout,0.42312854528427124,arithmetic
29,0.0015193005111068488,0.42161822083592415,,8.083889915582238e-05,2.16749740037607,1420.5880694389343,rollout,,arithmetic
30,0.0020393932592123747,0.42146534445881845,0.4236580833676271,7.959536998847746e-05,2.1450487184239,1427.5806233882904,rollout,0.423046350479126,arithmetic
31,0.00290160474460572,0.42150070041418075,,7.83231272036805e-05,2.1220512186140787,1422.3836252689362,rollout,,arithmetic
32,0.0033316255691461264,0.4212146877348423,0.4201820031157695,7.702342635146036e-05,2.0985280574794993,1419.4947843551636,rollout,0.4220818281173706,arithmetic
33,0.0034328539813868702,0.42080433055758476,,7.56975500796434e-05,2.074502920849452,1415.9332683086395,rollout,,arithmetic
34,0.0020451665986329316,0.421027613222599,0.4177329193626065,7.434680686803493e-05,2.05,1430.317040681839,rollout,0.4223685562610626,arithmetic
35,0.0024121723738498987,0.4213256042897701,,7.297252973710759e-05,2.0250439672954146,1427.112722158432,rollout,,arithmetic
36,0.005609149646246806,0.4204501250684261,0.4219050891697407,7.157607493247112e-05,1.9996599513451967,1412.0103571414948,rollout,0.4221329092979431,arithmetic
37,-0.002778665982186794,0.42021993747353553,,7.015882058642166e-05,1.973873511701698,1420.4339990615845,rollout,,arithmetic
38,0.007137934003490954,0.41962633973360064,0.42087687528692186,6.87221653578916e-05,1.9477106131238155,1426.7095155715942,rollout,0.4217626452445984,arithmetic
39,0.0006990614738315344,0.41959116223454473,,6.726752705214197e-05,1.9211975994326846,1422.8427278995514,rollout,,arithmetic
40,0.017374315585941075,0.41925129866600036,0.4147021778044291,6.579634122155994e-05,1.8943611669856797,1437.403553724289,rollout,0.4215041399002075,arithmetic
41,0.004375828430056572,0.41904673650860785,,6.431005974894189e-05,1.8672283377954475,1432.7653279304504,rollout,,arithmetic
