epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.1550699075832963,0.5980404577255249,0.557786229881458,0.0001,2.4995468881448666,704.1634473800659,rollout,0.5547670125961304,arithmetic
1,-0.038198503207415344,0.5511426829099655,,9.997557473810373e-05,2.5,697.8980989456177,rollout,,arithmetic
2,-0.007524657856673002,0.5436494411230087,0.5235682352213189,9.990232305719946e-05,2.4995468881448666,697.628936290741,rollout,0.5334171056747437,arithmetic
3,-0.07243644415400922,0.4943657431006432,,9.978031724785248e-05,2.498188008824696,710.1227169036865,rollout,,arithmetic
4,-0.07139637864008545,0.4650988392829895,0.4468227436300367,9.960967771506668e-05,2.4959247303157763,920.6398737430573,rollout,0.452960729598999,arithmetic
5,-0.05461302906833589,0.4528202679157257,,9.939057285945934e-05,2.492759331547716,739.6244277954102,rollout,,arithmetic
6,-0.03249988451227546,0.44637846273183823,0.44093830010388047,9.912321891107012e-05,2.4886949998087546,750.621913433075,rollout,0.44198504090309143,arithmetic
7,-0.03490230881795287,0.4442215524315834,,9.880787971596802e-05,2.483735827536436,916.8047530651093,rollout,,arithmetic
8,-0.02324824232235551,0.4439493099451065,0.4280980003532022,9.844486647586726e-05,2.4778868081968666,961.795031785965,rollout,0.44108355045318604,arithmetic
9,-0.02155793078802526,0.4416143990159035,,9.80345374410087e-05,2.4711538312567205,799.710061788559,rollout,,arithmetic
10,-0.013634569130837918,0.44030648028850555,0.4354682549019344,9.757729755661012e-05,2.463543676253048,744.1132640838623,rollout,0.43714839220046997,arithmetic
11,-0.00661618338804692,0.43946198123693464,,9.707359806323419e-05,2.4550640059668507,744.0382463932037,rollout,,arithmetic
12,-0.032121387861669064,0.43746893787384034,0.4361666385375429,9.652393605146847e-05,2.4457233587073173,749.7777292728424,rollout,0.4376923143863678,arithmetic
13,-0.010917446050792933,0.4370449573397636,,9.592885397135708e-05,2.435531139714465,750.8516838550568,rollout,,arithmetic
14,-0.009829379215836525,0.4367222586274147,0.4332790515618399,9.5288939097068e-05,2.424497611688863,744.4779980182648,rollout,0.4338749051094055,arithmetic
15,-0.0076870435876771805,0.434824392080307,,9.460482294732424e-05,2.4126338844579593,743.3972611427307,rollout,,arithmetic
16,-0.0020728649944067,0.43524852246046064,0.4302339796849992,9.387718066217127e-05,2.399951903789431,745.0539331436157,rollout,0.4336448609828949,arithmetic
17,-0.02144728534668684,0.4345765017867088,,9.310673033669524e-05,2.3864644393628067,745.9042217731476,rollout,,arithmetic
18,0.0021962033193558455,0.4333569771647453,0.43258000566856936,9.229423231234978e-05,2.3721850719114794,747.0248651504517,rollout,0.4314727187156677,arithmetic
19,-0.018850221594795585,0.43315018171072006,,9.144048842659084e-05,2.357128179548063,745.7730357646942,rollout,,arithmetic
20,-0.0021725563928484916,0.43230808746814725,0.4234375922533218,9.054634122155993e-05,2.3413089232868494,806.6244468688965,rollout,0.43160977959632874,arithmetic
21,-0.006184031628072262,0.4325980908870697,,8.961267311259669e-05,2.324743231777953,835.7961971759796,rollout,,arithmetic
22,-0.012943853608332574,0.4313682361841202,0.42609417269704863,8.864040551740159e-05,2.3074477852685087,749.7952234745026,rollout,0.4317740201950073,arithmetic
23,-0.014939047999680042,0.43202129369974135,,8.763049794670778e-05,2.2894399988070804,3518.1794018745422,rollout,,arithmetic
24,-0.0091932215327397,0.4326698470711708,0.4337913966155611,8.65839470573599e-05,2.2707380047081793,1243.1480386257172,rollout,0.4321726858615875,arithmetic
25,-0.002443594836629927,0.43137915736436844,,8.550178566873413e-05,2.251360634294563,2984.878811597824,rollout,,arithmetic
26,-0.0010207160636782646,0.4302813040614128,0.43046844203490764,8.438508174347012e-05,2.231327398935689,745.81085896492,rollout,0.431085467338562,arithmetic
27,-0.00254547013528645,0.4298557930588722,,8.32349373335208e-05,2.2106584704014187,738.7921295166016,rollout,,arithmetic
28,-0.007376412569545209,0.4297681279182434,0.4256504703662358,8.205248749256017e-05,2.1893746605507567,742.4017624855042,rollout,0.43115368485450745,arithmetic
29,-0.008624000506475568,0.4296169834136963,,8.083889915582238e-05,2.16749740037607,737.8798594474792,rollout,,arithmetic
30,-0.008669787124730646,0.42924116158485415,0.4294100244587753,7.959536998847746e-05,2.1450487184239,738.8983223438263,rollout,0.4305804967880249,arithmetic
31,-0.00675681597739458,0.42921231043338776,,7.83231272036805e-05,2.1220512186140787,738.1854887008667,rollout,,arithmetic
32,-0.006392558324150741,0.42815306508541107,0.4264548819628544,7.702342635146036e-05,2.0985280574794993,781.9730548858643,rollout,0.43064478039741516,arithmetic
33,-0.0008555721659213305,0.4283526133298874,,7.56975500796434e-05,2.074502920849452,835.4754102230072,rollout,,arithmetic
34,-0.011042918037623167,0.4274418097138405,0.4229782853508368,7.434680686803493e-05,2.05,809.5060513019562,rollout,0.431127667427063,arithmetic
35,-0.0006907101711258292,0.426815859079361,,7.297252973710759e-05,2.0250439672954146,734.9840624332428,rollout,,arithmetic
36,-0.00843138918466866,0.4260542194843292,0.4269906699191779,7.157607493247112e-05,1.9996599513451967,841.046692609787,rollout,0.4310789704322815,arithmetic
37,-0.0006188110103830695,0.4258717175722122,,7.015882058642166e-05,1.973873511701698,737.2573821544647,rollout,,arithmetic
38,-0.008390097508206963,0.4259729849100113,0.4265128260012716,6.87221653578916e-05,1.9477106131238155,739.1976642608643,rollout,0.4307754635810852,arithmetic
39,0.0043836074145510795,0.4253410866856575,,6.726752705214197e-05,1.9211975994326846,735.5580484867096,rollout,,arithmetic
40,-0.019320381695404648,0.4246399767398834,0.4180817752494477,6.579634122155994e-05,1.8943611669856797,730.3269662857056,rollout,0.42495158314704895,arithmetic
41,-0.0065674727838486435,0.4244824452996254,,6.431005974894189e-05,1.8672283377954475,733.2060313224792,rollout,,arithmetic
42,-0.0006907626558095216,0.42451428425312043,0.42117086495272815,6.281014941466034e-05,1.8398264323210314,734.1232399940491,rollout,0.4245184659957886,arithmetic
43,-0.0015732260579243303,0.42387909734249113,,6.12980904491289e-05,1.8121830419584846,797.6568474769592,rollout,,arithmetic
44,0.0037501609437167642,0.42364522445201874,0.4234334302600473,5.977537507199341e-05,1.7843260012586717,801.1506009101868,rollout,0.42414018511772156,arithmetic
45,-0.005548318076878786,0.42363494420051573,,5.8243506019491463e-05,1.7562833599002374,732.8006391525269,rollout,,arithmetic
46,0.00337453850870952,0.4229861696958542,0.4216746718157083,5.67039950614331e-05,1.7280833544459568,735.015496969223,rollout,0.4230664074420929,arithmetic
47,0.008389012259431183,0.42304093116521835,,5.515836150926649e-05,1.6997543799109098,827.85915184021,rollout,,arithmetic
48,-0.0065587272495031355,0.423874388217926,0.42413943633437157,5.3608130716701046e-05,1.6713249611711096,773.7388370037079,rollout,0.4231735169887543,arithmetic
49,-8.219651645049452e-05,0.4230513569712639,,5.205483257436738e-05,1.6428237242413681,769.2458233833313,rollout,,arithmetic
50,0.0027255363347940148,0.4221632919311523,0.42576722387457266,5.050000000000003e-05,1.6142793674513272,735.1233127117157,rollout,0.42364832758903503,arithmetic
51,0.0009937370880506932,0.4223914903402328,,4.894516742563268e-05,1.5857206325486728,733.8799629211426,rollout,,arithmetic
52,0.007096434835344553,0.4221040441989899,0.41862223437055945,4.739186928329902e-05,1.557176275758632,737.9754877090454,rollout,0.4239030182361603,arithmetic
53,0.004939244361128658,0.42203980827331544,,4.584163849073357e-05,1.52867503882889,843.7124876976013,rollout,,arithmetic
54,0.009956770150456578,0.4220674365758896,0.4196608375350479,4.429600493856697e-05,1.5002456200890901,737.3999471664429,rollout,0.4239618480205536,arithmetic
55,0.0019082511765882372,0.4216403021812439,,4.275649398050859e-05,1.4719166455540433,848.6595785617828,rollout,,arithmetic
56,0.007148320630192757,0.42104177445173263,0.41750014675199054,4.122462492800665e-05,1.4437166400997627,827.4636466503143,rollout,0.42341893911361694,arithmetic
57,0.005941439868416637,0.4212654760479927,,3.9701909550871175e-05,1.4156739987413285,735.5876924991608,rollout,,arithmetic
58,0.006152886583935469,0.4206503211259842,0.42079014782211743,3.81898505853397e-05,1.3878169580415154,883.4288892745972,rollout,0.42302507162094116,arithmetic
59,0.004902849767357111,0.42090430706739423,,3.668994025105817e-05,1.3601735676789686,744.0058751106262,rollout,,arithmetic
60,-0.002439950210507959,0.4210488499999046,0.42299548734445125,3.520365877844013e-05,1.332771662204553,737.6818096637726,rollout,0.42292413115501404,arithmetic
61,0.006051373977214098,0.42065558362007144,,3.373247294785809e-05,1.3056388330143205,732.3320045471191,rollout,,arithmetic
62,0.003539508244022727,0.4208839809894562,0.41742290891124867,3.227783464210847e-05,1.2788024005673155,890.4180166721344,rollout,0.4188845753669739,arithmetic
63,0.0017545846502762287,0.4200846909284592,,3.0841179413578366e-05,1.2522893868761842,735.1334965229034,rollout,,arithmetic
