epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.19073546747366588,0.6506376973787944,0.6453776427952107,0.0001,2.5,211.4323251247406,rollout,0.8691851496696472,arithmetic
1,-0.18759080817302068,0.6421892587343851,,9.99938933078422e-05,2.5,201.45785403251648,rollout,,arithmetic
2,-0.2321937387684981,0.5904551362991333,0.5548589815734886,9.997557473810371e-05,2.5,202.78723239898682,rollout,0.869539201259613,arithmetic
3,-0.09699572540819645,0.5637910683949788,,9.994504881061753e-05,2.5,225.92455458641052,rollout,,arithmetic
4,-0.06686178155243397,0.5577200047175089,0.5470852848084178,9.990232305719945e-05,2.5,204.21390891075134,rollout,0.5474936366081238,arithmetic
5,-0.022137742042541503,0.553088345527649,,9.984740801978984e-05,2.5,1506.4208309650421,rollout,,arithmetic
6,-0.020998340398073197,0.5497222352027893,0.5454209529561922,9.978031724785246e-05,2.5,1500.3948242664337,rollout,0.5459532737731934,arithmetic
7,-0.024226117009917895,0.5505443700154622,,9.97010672950314e-05,2.5,1446.6654732227325,rollout,,arithmetic
8,-0.03908850202957789,0.5480598974227905,0.5356215520587284,9.960967771506666e-05,2.5,1989.5749859809875,rollout,0.5436147451400757,arithmetic
9,-0.016519811687370142,0.54615389585495,,9.950617105696959e-05,2.5,1578.153074502945,rollout,,arithmetic
10,-0.037083516046404835,0.5437245925267538,0.5316481151967309,9.939057285945931e-05,2.5,1024.5506162643433,rollout,0.5343749523162842,arithmetic
11,-0.0823979571958383,0.5375494170188904,,9.92629116446613e-05,2.5,1038.5862102508545,rollout,,arithmetic
12,-0.07699583578854799,0.5236832880973816,0.5000927218352444,9.912321891107009e-05,2.5,1057.6540729999542,rollout,0.4977355897426605,arithmetic
13,-0.10804275182386239,0.5069584600130717,,9.89715291257774e-05,2.5,1544.4927968978882,rollout,,arithmetic
14,-0.09946480569740136,0.48776423970858257,0.47686988540226594,9.880787971596799e-05,2.5,1420.6017792224884,rollout,0.4809175431728363,arithmetic
15,-0.0875798849761486,0.47515515963236493,,9.863231105968498e-05,2.5,988.4301433563232,rollout,,arithmetic
16,-0.07989113486061493,0.4700027811527252,0.4612007514660945,9.844486647586723e-05,2.5,886.4897787570953,rollout,0.45823153853416443,arithmetic
17,-0.06436603263020516,0.4671309494972229,,9.824559221366101e-05,2.5,1070.8206312656403,rollout,,arithmetic
18,-0.08432589317361514,0.462932444413503,0.4550489956163801,9.803453744100869e-05,2.5,1180.503161907196,rollout,0.4524596631526947,arithmetic
19,-0.08158067514499029,0.46025282541910806,,9.781175423251735e-05,2.5,882.1252934932709,rollout,,arithmetic
20,-0.07420382839938004,0.45685030539830523,0.4480684990703594,9.757729755661011e-05,2.5,869.4953269958496,rollout,0.44523289799690247,arithmetic
21,-0.08318913370370865,0.45550074736277263,,9.73312252619635e-05,2.5,921.4757673740387,rollout,,arithmetic
22,-0.0849945175399383,0.45356154481569927,0.4516098313033581,9.707359806323416e-05,2.5,910.8141973018646,rollout,0.44539883732795715,arithmetic
23,-0.05411633227020502,0.45152885754903155,,9.680447952607844e-05,2.5,1013.8570046424866,rollout,,arithmetic
24,-0.07040763827661674,0.4510602204004924,0.4457882093847729,9.652393605146843e-05,2.5,1403.512859582901,rollout,0.44370579719543457,arithmetic
25,-0.05768701424201329,0.4503927111625671,,9.623203685930868e-05,2.5,1562.6365895271301,rollout,,arithmetic
26,-0.05820656535526117,0.4474187684059143,0.44054389389930293,9.592885397135704e-05,2.5,1670.0779175758362,rollout,0.44117113947868347,arithmetic
27,-0.06534730174889167,0.4468894906838735,,9.561446219345451e-05,2.5,1184.4286575317383,rollout,,arithmetic
28,-0.04628227007885774,0.44607237497965496,0.4377738030307228,9.528893909706794e-05,2.5,1744.7081499099731,rollout,0.4411919116973877,arithmetic
29,-0.04645559119681517,0.4448811419804891,,9.495236500015045e-05,2.5,870.1448640823364,rollout,,arithmetic
30,-0.0473063242311279,0.44426636179288226,0.4410607665340649,9.460482294732418e-05,2.5,988.297768831253,rollout,0.4373314380645752,arithmetic
31,-0.04289967363079389,0.44296308239301047,,9.424639868939032e-05,2.5,1296.994021654129,rollout,,arithmetic
32,-0.040752803174157935,0.4440853214263916,0.4408316958724754,9.387718066217123e-05,2.5,1501.4796109199524,rollout,0.437345415353775,arithmetic
33,-0.03830567136406898,0.4412451942761739,,9.349725996469046e-05,2.5,214.557683467865,rollout,,arithmetic
34,-0.04012247502803803,0.44122175614039105,0.4363966874079779,9.31067303366952e-05,2.5,220.36263132095337,rollout,0.437256395816803,arithmetic
35,-0.03282504918674628,0.44250631213188174,,9.270568813552755e-05,2.5,221.22023582458496,rollout,,arithmetic
36,-0.028627426276604334,0.441051588455836,0.431812994836946,9.229423231234973e-05,2.5,220.19028210639954,rollout,0.4371331036090851,arithmetic
37,-0.019327364849547547,0.4404762109120687,,9.187246438772937e-05,2.5,1143.6616258621216,rollout,,arithmetic
38,-0.0290242621054252,0.4401185615857442,0.4334517786774086,9.144048842659079e-05,2.5,936.7622263431549,rollout,0.4369521737098694,arithmetic
39,-0.030072335079312326,0.4392339384555817,,9.099841101253865e-05,2.5,899.5859942436218,rollout,,arithmetic
40,-0.030493964453538257,0.4388161329428355,0.4336844250501599,9.054634122155989e-05,2.5,1558.6169910430908,rollout,0.43423187732696533,arithmetic
41,-0.042747444125513234,0.43773959795633954,,9.008439059511098e-05,2.5,1589.5483796596527,rollout,,arithmetic
42,-0.03684706427156925,0.438294947942098,0.4359362500254065,8.961267311259666e-05,2.5,1092.4993386268616,rollout,0.43404945731163025,arithmetic
43,-0.025641386123994987,0.4379425752162933,,8.913130516324732e-05,2.5,901.4045815467834,rollout,,arithmetic
