epoch,train_loss,train_cost,val_cost,learning_rate,temperature,baseline_type,baseline_value
0,-9.330106142767155e-05,0.8163941057685796,0.8229858707869935,0.00015,0.8,rollout,1.0547304153442383
1,-0.0003821315118491005,0.8326662332829563,,0.000149963238747247,0.8,rollout,
2,1.0968659449754151e-06,0.8731725558128729,,0.00014985299126790623,0.8,rollout,
3,-3.364018473366315e-05,0.8904511302088698,,0.00014966936636292947,0.8,rollout,
4,-7.561148829419532e-07,0.8998575855262513,0.8922612188893972,0.00014941254524792862,0.8,rollout,
5,-2.9364976538381882e-05,0.8850058029810458,,0.00014908278137433777,0.8,rollout,
6,0.001017598011247737,0.8672038578281138,,0.00014868040017928732,0.8,rollout,
7,-3.6948082209775635e-05,0.8431819974477749,,0.0001482057987644367,0.8,rollout,
8,-8.662703760720093e-06,0.8390325595865655,0.8322377194175588,0.00014765944550408302,0.8,rollout,1.0529372692108154
9,0.0006091846349083478,0.8244502168425737,,0.00014704187958293228,0.8,rollout,
10,-5.417888360170764e-14,0.8097521065537768,,0.00014635371046398896,0.8,rollout,
11,-2.067757619540108e-05,0.8050483870189427,,0.00014559561728708982,0.8,rollout,
12,-0.0001201657913647125,0.7977172508962826,0.79751513989646,0.00014476834819867473,0.8,rollout,
13,-2.597257075684922e-05,0.7988849273611526,,0.0001438727196134566,0.8,rollout,
14,-2.3689360375556135e-07,0.789508555713587,,0.0001429096154087185,0.8,rollout,
15,-1.9307696568600838e-05,0.8110420311693148,,0.00014187998605203343,0.8,rollout,
16,-1.3580414370177133e-05,0.8026085212346474,0.808447269747782,0.00014078484766326786,0.8,rollout,0.8069878220558167
17,-6.0169590188863255e-05,0.8110336644668174,,0.00013962528101179385,0.8,rollout,
18,7.472423347033204e-05,0.8216481018466761,,0.00013840243044990018,0.8,rollout,
19,2.0166060045549252e-06,0.806019677346952,,0.00013711750278345492,0.8,rollout,
20,-4.2130029243026e-09,0.7765461366309054,0.7729891296063296,0.00013577176608093366,0.8,rollout,
21,1.4716961918163443e-05,0.7695601539186038,,0.000134366548421989,0.8,rollout,
22,-1.6608310452544592e-06,0.7651750658963181,,0.00013290323658679635,0.8,rollout,
23,-6.898819080447537e-08,0.767294223448044,,0.00013138327468746928,0.8,rollout,
24,5.7466608878324145e-05,0.8078468862827803,0.8326272447754678,0.0001298081627428952,0.8,rollout,0.8053343296051025
25,-3.568740759600786e-05,0.8171737775878765,,0.00012817945519839782,0.8,rollout,
26,9.539954426429632e-09,0.8661855659628231,,0.00012649875939168734,0.8,rollout,
27,-3.3436895436148952e-06,0.8968475411995308,,0.0001247677339666121,0.8,rollout,
28,4.758936138567667e-07,0.8859118085591676,0.8704051911509135,0.00012298808723627743,0.8,rollout,
29,1.6780228731564744e-05,0.8843505859568973,,0.0001211615754971468,0.8,rollout,
30,-3.218473256794141e-08,0.8784768476960536,,0.00011929000129578931,0.8,rollout,
31,5.6187708524764916e-05,0.8777761290432533,,0.00011737521164998379,0.8,rollout,
32,-3.261138067737572e-08,0.8815564607768329,0.868301583845221,0.00011541909622593529,0.8,rollout,0.8048473000526428
33,4.1614613503308345e-08,0.8825404788420798,,0.00011342358547340271,0.8,rollout,
34,1.512312524099002e-07,0.8674271306050757,,0.00011139064872057783,0.8,rollout,
35,2.4868995751603505e-15,0.8606505955878067,,0.00010932229223059627,0.8,rollout,
36,-1.0661422856254413e-06,0.8208966244278889,0.800338138070016,0.00010722055722159794,0.8,rollout,
37,4.4868208768515196e-06,0.7857205460701988,,0.00010508751785229118,0.8,rollout,
38,2.122057063402849e-08,0.7838569391907669,,0.00010292527917500856,0.8,rollout,
39,3.8220144418232847e-07,0.783959256096787,,0.00010073597505827425,0.8,rollout,
40,1.0094572881295487e-09,0.7812151634096318,0.7802875805027554,9.852176608093362e-05,0.8,rollout,0.6146739721298218
41,2.256097652993579e-07,0.7774769894996347,,9.628483739992263e-05,0.8,rollout,
42,5.148474239528393e-14,0.7768970471019843,,9.40273965937817e-05,0.8,rollout,
43,-2.6586140696357082e-14,0.780118125640132,,9.175167148404246e-05,0.8,rollout,
44,1.914332776446296e-06,0.7833120055343614,0.7893649355954142,8.945990793663653e-05,0.8,rollout,
45,0.00016156055594436226,0.78708233535932,,8.715436764549724e-05,0.8,rollout,
46,-3.144151605738443e-14,0.7865913342021777,,8.483732590054073e-05,0.8,rollout,
47,0.0001624721547316928,0.7856847590126536,,8.251106934222936e-05,0.8,rollout,
48,-3.6790242437708304e-07,0.7804648625893587,0.7888820947486368,8.01778937049339e-05,0.8,rollout,0.6120314002037048
49,3.638395187509265e-05,0.7856712396050193,,7.78401015513206e-05,0.8,rollout,
50,-2.850449950149899e-10,0.7822644126855233,,7.550000000000005e-05,0.8,rollout,
51,2.5468456973006445e-11,0.7819816203164031,,7.315989844867949e-05,0.8,rollout,
52,3.1901888538262334e-11,0.7793085495485198,0.7846765822563591,7.08221062950662e-05,0.8,rollout,
