epoch,train_loss,train_cost,val_cost,learning_rate,temperature,baseline_type,baseline_value
0,-0.41781568586826323,0.703481553713738,0.7033451396766759,0.0001,2.5,rollout,0.6942033767700195
1,-0.43018090387185415,0.7012013748314792,,9.997557473810373e-05,2.5,rollout,0.6747260093688965
2,-0.7330425290266672,0.6777401844993985,0.6449408906151015,9.990232305719946e-05,2.5,rollout,0.6128517985343933
3,-0.5635914401213328,0.6137718415983419,,9.978031724785248e-05,2.5,rollout,0.5697731971740723
4,-0.39730450431505837,0.5703256230309484,0.54915123799391,9.960967771506668e-05,2.5,rollout,0.5493947267532349
5,-0.374066978196303,0.5514776898865232,,9.939057285945934e-05,2.5,rollout,0.5413409471511841
6,-0.32890952413280805,0.5421341430868964,0.5376649576377655,9.912321891107012e-05,2.5,rollout,0.5345782041549683
7,-0.31651346464951835,0.5373555400759864,,9.880787971596802e-05,2.5,rollout,0.534576416015625
8,-0.28744200761119526,0.5349540299168786,0.5278237881376352,9.844486647586726e-05,2.5,rollout,0.5344047546386719
9,-0.22118307548264662,0.5320463623983755,,9.80345374410087e-05,2.0500000000000003,rollout,0.5316704511642456
10,-0.2623154891530673,0.5300893551198057,0.5343570311401911,9.757729755661012e-05,2.0500000000000003,rollout,0.5310709476470947
11,-0.20073052930335203,0.529096736091366,,9.707359806323419e-05,1.6810000000000003,rollout,0.5302634239196777
12,-0.21610849228998025,0.5273434545938515,0.5353523046601212,9.652393605146847e-05,1.6810000000000003,rollout,0.5304884910583496
13,-0.16741134747862815,0.5268286301762521,,9.592885397135708e-05,1.3784200000000004,rollout,0.5309641361236572
14,-0.1671468222886324,0.5262241931904384,0.5246470668300145,9.5288939097068e-05,1.3784200000000004,rollout,0.5281171202659607
15,-0.15627854862560828,0.5258603365476563,,9.460482294732424e-05,1.1303044000000004,rollout,0.5279757976531982
16,-0.15067486683527628,0.5248681144727739,0.5213453626745378,9.387718066217127e-05,1.1303044000000004,rollout,0.5262739658355713
17,-0.1059056443721056,0.5249316683023906,,9.310673033669524e-05,0.9268496080000004,rollout,0.5260282158851624
18,-0.12255162662516038,0.5246770819140044,0.5268880391813598,9.229423231234978e-05,0.9268496080000004,rollout,0.5259353518486023
19,-0.09383169723053773,0.5243235590480445,,9.144048842659084e-05,0.7600166785600003,rollout,0.5261427164077759
20,-0.08574751698722442,0.5227167945204432,0.5166115564940251,9.054634122155993e-05,0.7600166785600003,rollout,0.5258200168609619
21,-0.0834806374150018,0.5223682371706211,,8.96126731125967e-05,0.6232136764192003,rollout,0.5258818864822388
22,-0.0724048218751947,0.5227721013165487,0.5178677161930386,8.864040551740159e-05,0.6232136764192003,rollout,0.5260740518569946
23,-0.06035623144979278,0.522790295300349,,8.763049794670778e-05,0.5110352146637444,rollout,0.5258144736289978
24,-0.06123953534290195,0.5232747337293622,0.5309669451178283,8.65839470573599e-05,0.5110352146637444,rollout,0.5263231992721558
25,-0.04450056197121739,0.5214980423579195,,8.550178566873413e-05,0.4190488760242704,rollout,0.5261695384979248
26,-0.044259216325978436,0.521385639914955,0.5265950403676664,8.438508174347012e-05,0.4190488760242704,rollout,0.5264476537704468
27,-0.05188334605346123,0.5209792590735706,,8.32349373335208e-05,0.49447767370863904,rollout,0.524135172367096
28,-0.060476783538858096,0.5214682552054141,0.5166614672825492,8.205248749256017e-05,0.49447767370863904,rollout,0.5241917371749878
29,-0.0728359771023194,0.5206011951760606,,8.083889915582238e-05,0.583483654976194,rollout,0.5241451859474182
30,-0.05899768707032005,0.5197959236525659,0.5264397940186731,7.959536998847746e-05,0.583483654976194,rollout,0.5240861177444458
31,-0.05767106842870513,0.5200313538239345,,7.83231272036805e-05,0.47845659708047916,rollout,0.5246466398239136
32,-0.04566981052669386,0.5207440846815659,0.52115195705313,7.702342635146036e-05,0.47845659708047916,rollout,0.5249902009963989
33,-0.042560751317068934,0.5197260550856714,,7.56975500796434e-05,0.3923344096059929,rollout,0.5248779058456421
34,-0.03956732309112946,0.51946988659224,0.518383010434811,7.434680686803493e-05,0.3923344096059929,rollout,0.5252128839492798
35,-0.04348036227126916,0.519904682974161,,7.297252973710759e-05,0.4629546033350716,rollout,0.5250668525695801
36,-0.0551633902763327,0.5200118671821243,0.5250369021437752,7.157607493247112e-05,0.4629546033350716,rollout,0.5248703360557556
37,-0.03937233825524648,0.5190772841896807,,7.015882058642166e-05,0.37962277473475875,rollout,0.5244296789169312
38,-0.041707779622326295,0.5189789945534565,0.5208607942473673,6.87221653578916e-05,0.37962277473475875,rollout,0.5242365598678589
39,-0.03215500261634588,0.5198780024231818,,6.726752705214197e-05,0.3112906752825022,rollout,0.523653507232666
40,-0.027992465865487853,0.5189921265996482,0.515303283664075,6.579634122155994e-05,0.3112906752825022,rollout,0.5238655805587769
41,-0.03380832633624474,0.5201135280029217,,6.431005974894189e-05,0.36732299683335257,rollout,0.523624062538147
42,-0.03648473180520038,0.5195690323416645,0.5247641282443347,6.281014941466034e-05,0.36732299683335257,rollout,0.5232291221618652
43,-0.027108114007860423,0.5201650906868159,,6.12980904491289e-05,0.3012048574033491,rollout,0.5227691531181335
44,-0.025278684059157966,0.5218509473316428,0.522385784937609,5.977537507199341e-05,0.3012048574033491,rollout,0.5229250192642212
45,-0.02066508834871153,0.5194077620075485,,5.8243506019491463e-05,0.2469879830707463,rollout,0.5231882929801941
46,-0.021715514468960462,0.5185137696458613,0.5217765824261754,5.67039950614331e-05,0.2469879830707463,rollout,0.523247480392456
47,-0.027590114859243235,0.5192525937370029,,5.515836150926649e-05,0.29144582002348063,rollout,0.5225767493247986
48,-0.024833734259009362,0.517370946361436,0.5256281543285317,5.3608130716701046e-05,0.29144582002348063,rollout,0.5225633382797241
49,-0.03059917221777141,0.5178069846335247,,5.205483257436738e-05,0.34390606762770715,rollout,0.5198491811752319
50,-0.03886513687049349,0.516737009353734,0.5248883948989965,5.050000000000003e-05,0.34390606762770715,rollout,0.5204956531524658
51,-0.03654671589843929,0.5173406249792468,,4.894516742563268e-05,0.40580915980069443,rollout,0.5207247138023376
52,-0.045486418129876256,0.5168524546438472,0.5141446460505062,4.739186928329902e-05,0.40580915980069443,rollout,0.5206708312034607
53,-0.030455543389543892,0.5170543739066483,,4.584163849073357e-05,0.3327635110365695,rollout,0.5203994512557983
54,-0.03170306907966733,0.5165768643748986,0.5184148559919328,4.429600493856697e-05,0.3327635110365695,rollout,0.5204205513000488
55,-0.0287322438446184,0.5161880835679422,,4.275649398050859e-05,0.272866079049987,rollout,0.5201605558395386
56,-0.02381140933992962,0.51667017549658,0.5153590928629108,4.122462492800665e-05,0.272866079049987,rollout,0.5197436213493347
57,-0.023886777924684188,0.5166786238099804,,3.9701909550871175e-05,0.22375018482098935,rollout,0.5195654630661011
58,-0.0249108900098751,0.516842257321926,0.5142440957917831,3.81898505853397e-05,0.22375018482098935,rollout,0.519274115562439
59,-0.017984106924074393,0.5171521783387535,,3.668994025105817e-05,0.18347515155321129,rollout,0.519167423248291
60,-0.01846899720529715,0.5178096096530391,0.5209156732570417,3.520365877844013e-05,0.18347515155321129,rollout,0.5190958380699158
