epoch,train_loss,train_cost,val_cost,learning_rate,temperature,baseline_type,baseline_value
0,-0.4145709732174873,0.708210449240175,0.71146577369462,0.0001,2.5,rollout,0.6989507079124451
1,-0.44872193187475207,0.7018828393849151,,9.997557473810373e-05,2.5,rollout,0.6915136575698853
2,-0.452476407289505,0.7011437864099144,,9.990232305719946e-05,2.5,rollout,0.6922316551208496
3,-0.42531654715538025,0.6996859162810665,,9.978031724785248e-05,2.5,rollout,0.6845307946205139
4,-0.4335465133190155,0.6989945784159652,0.6893674019441038,9.960967771506668e-05,2.5,rollout,0.6436779499053955
5,-0.4766063964366913,0.6800688090916985,,9.939057285945934e-05,2.5,rollout,0.6322901248931885
6,-0.3644755706191063,0.643206318648108,,9.912321891107012e-05,2.5,rollout,0.6265262365341187
7,-0.32466041535139084,0.6320326766262803,,9.880787971596802e-05,2.5,rollout,0.6220763921737671
8,-0.34492683947086333,0.6258123990277354,0.6144739658525624,9.844486647586726e-05,2.5,rollout,0.6156477928161621
9,-0.3204640692472458,0.6203167425836739,,9.80345374410087e-05,2.5,rollout,0.612785816192627
10,-0.32351770251989365,0.6186092310063216,,9.757729755661012e-05,2.5,rollout,0.6059058904647827
11,-0.37580276250839234,0.6139034436082283,,9.707359806323419e-05,2.5,rollout,0.5953248143196106
12,-0.383200204372406,0.6083333098982561,0.6095756467641009,9.652393605146847e-05,2.5,rollout,0.5939016342163086
13,-0.35464052587747574,0.604549683847928,,9.592885397135708e-05,2.5,rollout,0.5944653749465942
14,-0.3289223450422287,0.6017217467342699,,9.5288939097068e-05,2.5,rollout,0.5956897139549255
15,-0.3302207189798355,0.5993824623048062,,9.460482294732424e-05,2.5,rollout,0.5935676097869873
16,-0.34969616174697876,0.5956299753531882,0.5871071157468347,9.387718066217127e-05,2.5,rollout,0.581096351146698
17,-0.275568478256464,0.5833935646046319,,9.310673033669524e-05,2.0500000000000003,rollout,0.5741172432899475
18,-0.2854334335029125,0.5717653206229858,,9.229423231234978e-05,2.0500000000000003,rollout,0.5555543303489685
19,-0.34504883766174316,0.5635339493513793,,9.144048842659084e-05,2.0500000000000003,rollout,0.5538967847824097
20,-0.2759092377126217,0.5571316175505135,0.551792109469692,9.054634122155993e-05,2.0500000000000003,rollout,0.5515319108963013
21,-0.2432353250682354,0.5508371221978996,,8.96126731125967e-05,1.6810000000000003,rollout,0.5451407432556152
22,-0.2633179487287998,0.5472752873105544,,8.864040551740159e-05,1.6810000000000003,rollout,0.5441665053367615
23,-0.2311774244904518,0.5450973906420506,,8.763049794670778e-05,1.6810000000000003,rollout,0.5396686792373657
24,-0.2844213832914829,0.5408719076952155,0.5464780181135576,8.65839470573599e-05,1.6810000000000003,rollout,0.5402129292488098
25,-0.22050969213247298,0.5406968124794416,,8.550178566873413e-05,1.3784200000000004,rollout,0.5370246171951294
26,-0.20224759250879287,0.538098720680805,,8.438508174347012e-05,1.3784200000000004,rollout,0.535753607749939
27,-0.20657845467329025,0.5366391467007848,,8.32349373335208e-05,1.3784200000000004,rollout,0.535704493522644
28,-0.22586805805563925,0.5363157369673545,0.5311407910571502,8.205248749256017e-05,1.3784200000000004,rollout,0.5357332825660706
29,-0.18863148637115956,0.5354458501094203,,8.083889915582238e-05,1.1303044000000004,rollout,0.5356066823005676
30,-0.14556475773453711,0.5334254868754202,,7.959536998847746e-05,1.1303044000000004,rollout,0.5340335965156555
31,-0.17462130770087242,0.5309717024461971,,7.83231272036805e-05,1.1303044000000004,rollout,0.5342304706573486
32,-0.16643350943922997,0.5307081053416736,0.528352565702941,7.702342635146036e-05,1.1303044000000004,rollout,0.5346717834472656
33,-0.12620493412017822,0.5313455188419233,,7.56975500796434e-05,0.9268496080000004,rollout,0.534619927406311
34,-0.11078951559960842,0.5298730891043223,,7.434680686803493e-05,0.9268496080000004,rollout,0.5320883989334106
35,-0.1404455963522196,0.5306317885408167,,7.297252973710759e-05,0.9268496080000004,rollout,0.5318470597267151
36,-0.14493641778826713,0.5303981250253029,0.5341719779280002,7.157607493247112e-05,0.9268496080000004,rollout,0.5317682027816772
37,-0.09530729956924916,0.5301424945916687,,7.015882058642166e-05,0.7600166785600003,rollout,0.5311771035194397
38,-0.12090052928775549,0.5276329750962074,,6.87221653578916e-05,0.7600166785600003,rollout,0.5303370952606201
39,-0.11162601124495268,0.5276239523176606,,6.726752705214197e-05,0.7600166785600003,rollout,0.5297434329986572
40,-0.08455930033698678,0.5286800194835276,0.5231923293108728,6.579634122155994e-05,0.7600166785600003,rollout,0.5298620462417603
41,-0.09078348837792874,0.5285529139220349,,6.431005974894189e-05,0.6232136764192003,rollout,0.5296040773391724
42,-0.08835717741400004,0.5271519286807148,,6.281014941466034e-05,0.6232136764192003,rollout,0.5291122198104858
43,-0.08400457940995693,0.5279301851505264,,6.12980904491289e-05,0.6232136764192003,rollout,0.5286706686019897
44,-0.07890454789623619,0.5252824853501749,0.5286866233353561,5.977537507199341e-05,0.6232136764192003,rollout,0.5288766622543335
45,-0.05833545606583357,0.5281544315695846,,5.8243506019491463e-05,0.5110352146637444,rollout,0.5290967226028442
46,-0.07511290885508061,0.5266021058113757,,5.67039950614331e-05,0.5110352146637444,rollout,0.5291273593902588
47,-0.07590250633656978,0.5286549199038307,,5.515836150926649e-05,0.5110352146637444,rollout,0.5291635990142822
48,-0.057407121546566485,0.5256245393407439,0.5300481519847169,5.3608130716701046e-05,0.5110352146637444,rollout,0.5291528701782227
49,-0.034974783379584554,0.5263049851655961,,5.205483257436738e-05,0.4190488760242704,rollout,0.5294561386108398
50,-0.06412627128884196,0.5255415492486774,,5.050000000000003e-05,0.4190488760242704,rollout,0.5300352573394775
51,-0.05631820162758231,0.5268749093806046,,4.894516742563268e-05,0.4190488760242704,rollout,0.5302729606628418
52,-0.061647121720016004,0.5268640433973986,0.528103108620509,4.739186928329902e-05,0.4190488760242704,rollout,0.5302872061729431
53,-0.06234995728358626,0.5262319735731501,,4.584163849073357e-05,0.49447767370863904,rollout,0.5273674726486206
54,-0.0641048993356526,0.5254663942198584,,4.429600493856697e-05,0.49447767370863904,rollout,0.527370035648346
55,-0.07310275472700596,0.5266310992409485,,4.275649398050859e-05,0.49447767370863904,rollout,0.527087926864624
