epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.5466055798530579,0.7129052627819312,0.7081577384588172,0.0001,2.5,49.592984199523926,rollout,0.6792792677879333,arithmetic
1,-0.45266312062740327,0.7078798294061088,,9.757729755661011e-05,2.5,39.962284326553345,rollout,0.6788256168365479,arithmetic
2,-0.4008392250537872,0.6967274814157497,0.705085196738068,9.05463412215599e-05,2.5,41.825305700302124,rollout,0.6801328063011169,arithmetic
3,-0.3995759814977646,0.699208959682117,,7.959536998847742e-05,2.5,40.94075560569763,rollout,0.6809300780296326,arithmetic
4,-0.3219856417179108,0.7018333054458078,0.6869676509018895,6.57963412215599e-05,2.5,40.95967721939087,rollout,0.6821283102035522,arithmetic
5,-0.2322215849161148,0.6975939298717155,,5.05e-05,2.5,41.99214315414429,rollout,0.6806169748306274,arithmetic
6,-0.20819444358348846,0.7041877798640641,0.7061189975099171,3.5203658778440106e-05,2.5,43.17427182197571,rollout,0.6798692345619202,arithmetic
7,-0.14027936398983,0.6998186837762632,,2.1404630011522586e-05,2.5,41.01481223106384,rollout,0.6798660755157471,arithmetic
8,-0.14214226335287095,0.7043192103526938,0.6996663349270813,1.0453658778440107e-05,2.5,41.131635665893555,rollout,0.6792336702346802,arithmetic
9,0.0029036663472652435,0.701387699817226,,3.4227024433899e-06,2.0500000000000003,39.232624530792236,rollout,0.6777070760726929,arithmetic
10,-0.06595517627894878,0.7031735413543742,0.6891417344210033,1e-06,2.0500000000000003,39.27061128616333,rollout,0.6758806109428406,arithmetic
