epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.18926431089639664,0.6507882181803385,0.65040165692335,0.0001,2.4995468881448666,201.17633080482483,hybrid(rollout),0.6453726887702942,arithmetic
1,-0.18507765352725983,0.6423027571042379,,9.997557473810373e-05,2.5,192.09853291511536,hybrid(rollout),0.5862778425216675,arithmetic
2,-0.26809724668661755,0.5927045178413392,0.5562958073278423,9.990232305719946e-05,2.4995468881448666,194.7937798500061,hybrid(rollout),0.5586193799972534,arithmetic
3,-0.11345961473882199,0.5661524971326192,,9.978031724785248e-05,2.498188008824696,194.1316750049591,hybrid(rollout),0.5538573861122131,arithmetic
4,-0.0612877439459165,0.559650547504425,0.5515179018548224,9.960967771506668e-05,2.4959247303157763,196.89874815940857,hybrid(rollout),0.5488260388374329,arithmetic
5,-0.05515422376493613,0.5565493178367614,,9.939057285945934e-05,2.492759331547716,191.70383763313293,hybrid(rollout),0.5487333536148071,arithmetic
6,-0.024462282819052536,0.5515304629007975,0.5481364266306628,9.912321891107012e-05,2.4886949998087546,196.51028513908386,hybrid(rollout),0.5486277937889099,arithmetic
7,-0.0050935067981481555,0.5494507455825806,,9.880787971596802e-05,2.483735827536436,190.87975907325745,hybrid(rollout),0.5467666387557983,arithmetic
8,-0.01575109742581844,0.5500810194015503,0.5381037347251549,9.844486647586726e-05,2.4778868081968666,194.06838393211365,hybrid(rollout),0.5468044281005859,arithmetic
9,-0.004898990852137406,0.5491294145584107,,9.80345374410087e-05,2.4711538312567205,191.47840762138367,hybrid(rollout),0.5467803478240967,arithmetic
10,-0.08676563714941343,0.5498668011029562,0.5382555838441476,9.757729755661012e-05,2.463543676253048,194.24522757530212,hybrid(rollout),0.5466439723968506,arithmetic
11,-0.0031312658389409383,0.5459222356478374,,9.707359806323419e-05,2.4550640059668507,193.5974440574646,hybrid(rollout),0.5393106937408447,arithmetic
12,-0.18725922385851543,0.5439867393175761,0.5303191116254311,9.652393605146847e-05,2.4457233587073173,197.60781502723694,hybrid(rollout),0.5158805847167969,arithmetic
13,-0.19111649699509145,0.5175492831071218,,9.592885397135708e-05,2.435531139714465,203.2365870475769,hybrid(rollout),0.4776277244091034,arithmetic
14,-0.13333055168390273,0.4879181973139445,0.46444545296253636,9.5288939097068e-05,2.424497611688863,204.28026032447815,hybrid(rollout),0.4664174020290375,arithmetic
15,-0.10112162667016188,0.47742154240608214,,9.460482294732424e-05,2.4126338844579593,199.8829629421234,hybrid(rollout),0.46374571323394775,arithmetic
16,-0.08389196020861467,0.47148632725079853,0.45757296530064195,9.387718066217127e-05,2.399951903789431,202.49144744873047,hybrid(rollout),0.4568188190460205,arithmetic
17,-0.08237220930556456,0.4673080249627431,,9.310673033669524e-05,2.3864644393628067,200.03862166404724,hybrid(rollout),0.45403385162353516,arithmetic
18,-0.0932702094813188,0.4628095050652822,0.4543248270638287,9.229423231234978e-05,2.3721850719114794,205.57214784622192,hybrid(rollout),0.45208439230918884,arithmetic
19,-0.0926619103550911,0.45912445783615113,,9.144048842659084e-05,2.357128179548063,202.5472412109375,hybrid(rollout),0.44954708218574524,arithmetic
20,-0.07729804240167142,0.4561319971084595,0.44739915303944144,9.054634122155993e-05,2.3413089232868494,412.31830644607544,hybrid(rollout),0.442399799823761,arithmetic
21,-0.0736677286028862,0.4518840142091115,,8.961267311259669e-05,2.324743231777953,406.3273882865906,hybrid(rollout),0.4393882155418396,arithmetic
22,-0.10405761286616326,0.449019535779953,0.44331962173600914,8.864040551740159e-05,2.3074477852685087,416.50204277038574,hybrid(rollout),0.4394722282886505,arithmetic
23,-0.059602192317446075,0.4476916845639547,,8.763049794670778e-05,2.2894399988070804,410.2507658004761,hybrid(rollout),0.43869414925575256,arithmetic
24,-0.07541171016792457,0.4469894564151764,0.44266153887292603,8.65839470573599e-05,2.2707380047081793,420.1083176136017,hybrid(rollout),0.4387020766735077,arithmetic
25,-0.046519344573219615,0.44546988407770793,,8.550178566873413e-05,2.251360634294563,408.45142936706543,hybrid(rollout),0.4354989528656006,arithmetic
26,-0.07929014722506206,0.44402886827786764,0.43762099486775696,8.438508174347012e-05,2.231327398935689,416.6092143058777,hybrid(rollout),0.4353054165840149,arithmetic
27,-0.0364996150881052,0.4429620925585429,,8.32349373335208e-05,2.2106584704014187,410.3449537754059,hybrid(rollout),0.4352813959121704,arithmetic
28,-0.05074722600479921,0.4425105559825897,0.4378275049602962,8.205248749256017e-05,2.1893746605507567,411.68493700027466,hybrid(rollout),0.4353220760822296,arithmetic
29,-0.03344845833877722,0.44253810922304787,,8.083889915582238e-05,2.16749740037607,410.6386377811432,hybrid(rollout),0.4352656304836273,arithmetic
30,-0.043798106213410695,0.4407836254437765,0.43340205181448255,7.959536998847746e-05,2.1450487184239,414.144980430603,hybrid(rollout),0.43288031220436096,arithmetic
31,-0.020484295102457206,0.44054179787635805,,7.83231272036805e-05,2.1220512186140787,411.7962427139282,hybrid(rollout),0.4328579604625702,arithmetic
32,-0.04188529334962368,0.4398927044868469,0.4347615138540277,7.702342635146036e-05,2.0985280574794993,421.49896574020386,hybrid(rollout),0.43292945623397827,arithmetic
33,-0.028426713266720374,0.4386034619808197,,7.56975500796434e-05,2.074502920849452,409.8877260684967,hybrid(rollout),0.43286681175231934,arithmetic
34,-0.022901600375771523,0.4385323965549469,0.43363387259159936,7.434680686803493e-05,2.05,415.08355593681335,hybrid(rollout),0.4326621890068054,arithmetic
35,-0.018533566147089005,0.4379044314225515,,7.297252973710759e-05,2.0250439672954146,420.20782494544983,hybrid(rollout),0.43261387944221497,arithmetic
36,-0.03419034704566002,0.4382138379414876,0.4331444091658341,7.157607493247112e-05,1.9996599513451967,419.69722867012024,hybrid(rollout),0.43255433440208435,arithmetic
37,-0.011844826955348253,0.4372958540916443,,7.015882058642166e-05,1.973873511701698,405.7664005756378,hybrid(rollout),0.4324384927749634,arithmetic
38,-0.03325617554287116,0.4369395407040914,0.4313848913880065,6.87221653578916e-05,1.9477106131238155,416.149005651474,hybrid(rollout),0.4301697015762329,arithmetic
39,-0.027596613218386967,0.436691677570343,,6.726752705214197e-05,1.9211975994326846,412.81210565567017,hybrid(rollout),0.4300479590892792,arithmetic
40,-0.023953062140693267,0.435947851339976,0.4300580139752128,6.579634122155994e-05,1.8943611669856797,419.1955187320709,hybrid(rollout),0.429293692111969,arithmetic
41,-0.02151497850815455,0.43604477564493815,,6.431005974894189e-05,1.8672283377954475,415.8057255744934,hybrid(rollout),0.4292473793029785,arithmetic
42,-0.019806626240412396,0.435808056195577,0.4295386860103463,6.281014941466034e-05,1.8398264323210314,414.5473439693451,hybrid(rollout),0.4291382431983948,arithmetic
