epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.1901500223080317,0.6500638246536254,0.6455143387720454,0.0001,2.4995468881448666,292.0378701686859,rollout,0.6400309801101685,arithmetic
1,-0.21762621104717256,0.6324727193514506,,9.997557473810373e-05,2.5,287.73407888412476,rollout,,arithmetic
2,-0.17967637836933137,0.573427651723226,0.5540811384853441,9.990232305719946e-05,2.4995468881448666,284.12997817993164,rollout,0.5564234852790833,arithmetic
3,-0.08412073115507762,0.5597603384653728,,9.978031724785248e-05,2.498188008824696,242.66894435882568,rollout,,arithmetic
4,-0.07616285937527816,0.556336944103241,0.54418944317149,9.960967771506668e-05,2.4959247303157763,239.58258867263794,rollout,0.5502275228500366,arithmetic
5,-0.06269778187076251,0.5518455084164937,,9.939057285945934e-05,2.492759331547716,233.3112461566925,rollout,,arithmetic
6,-0.05235558537145456,0.549520693620046,0.5426082764170133,9.912321891107012e-05,2.4886949998087546,246.1482470035553,rollout,0.5500584840774536,arithmetic
7,-0.04459158549706141,0.5498659451802571,,9.880787971596802e-05,2.483735827536436,261.5747380256653,rollout,,arithmetic
8,-0.033576650619506834,0.5487208032608032,0.53791855747113,9.844486647586726e-05,2.4778868081968666,235.8101601600647,rollout,0.5462657809257507,arithmetic
9,-0.020476593747735024,0.5468079161643982,,9.80345374410087e-05,2.4711538312567205,226.11372303962708,rollout,,arithmetic
10,-0.11232258175810178,0.5477191440264384,0.5391885044518858,9.757729755661012e-05,2.463543676253048,246.2109797000885,rollout,0.5409634113311768,arithmetic
11,-0.04877115957438946,0.5427450521787007,,9.707359806323419e-05,2.4550640059668507,245.37285566329956,rollout,,arithmetic
12,-0.07963658151527246,0.5392304388682048,0.5350723305891734,9.652393605146847e-05,2.4457233587073173,269.4069335460663,rollout,0.5341450572013855,arithmetic
13,-0.10455202209452788,0.531630752881368,,9.592885397135708e-05,2.435531139714465,255.94216752052307,rollout,,arithmetic
14,-0.138144789809982,0.5160645079612732,0.4896012780664023,9.5288939097068e-05,2.424497611688863,258.5800964832306,rollout,0.4902728796005249,arithmetic
15,-0.1800172571092844,0.498977609872818,,9.460482294732424e-05,2.4126338844579593,264.44272470474243,rollout,,arithmetic
16,-0.15169287756085395,0.4905548822879791,0.47724069823743775,9.387718066217127e-05,2.399951903789431,252.65242433547974,rollout,0.4757412075996399,arithmetic
17,-0.1578118242820104,0.48414413968722025,,9.310673033669524e-05,2.3864644393628067,260.5931191444397,rollout,,arithmetic
18,-0.13802359754840532,0.4787610383828481,0.4759585573337972,9.229423231234978e-05,2.3721850719114794,283.02219700813293,rollout,0.4758104681968689,arithmetic
19,-0.13106590504447618,0.47358721017837524,,9.144048842659084e-05,2.357128179548063,257.1725080013275,rollout,,arithmetic
20,-0.13278149262070657,0.46795339862505597,0.4561156920462963,9.054634122155993e-05,2.3413089232868494,553.7873635292053,rollout,0.4529017508029938,arithmetic
21,-0.11187422330180805,0.46162619670232136,,8.961267311259669e-05,2.324743231777953,506.3263912200928,rollout,,arithmetic
22,-0.08068185103436311,0.45640393972396853,0.4463552836459712,8.864040551740159e-05,2.3074477852685087,527.2485907077789,rollout,0.4435161352157593,arithmetic
23,-0.12273594647645951,0.45275304357210794,,8.763049794670778e-05,2.2894399988070804,513.6878681182861,rollout,,arithmetic
24,-0.07310582193235557,0.44938942313194274,0.442414804980217,8.65839470573599e-05,2.2707380047081793,501.6854145526886,rollout,0.4405139088630676,arithmetic
25,-0.09359767427047094,0.4481481333573659,,8.550178566873413e-05,2.251360634294563,504.7481725215912,rollout,,arithmetic
26,-0.05293502226471901,0.44576129913330076,0.4364628004914266,8.438508174347012e-05,2.231327398935689,551.5486614704132,rollout,0.4365480840206146,arithmetic
27,-0.07810036465525627,0.4441882272561391,,8.32349373335208e-05,2.2106584704014187,515.0466616153717,rollout,,arithmetic
28,-0.05322712159405152,0.4431141495704651,0.4385315960171283,8.205248749256017e-05,2.1893746605507567,569.760458946228,rollout,0.4366777241230011,arithmetic
29,-0.08350800991058349,0.44224833567937216,,8.083889915582238e-05,2.16749740037607,499.81618309020996,rollout,,arithmetic
30,-0.06129091197003921,0.44077261845270793,0.4334296160086524,7.959536998847746e-05,2.1450487184239,530.9574375152588,rollout,0.43654680252075195,arithmetic
31,-0.04132381957024336,0.4409588567415873,,7.83231272036805e-05,2.1220512186140787,536.4224214553833,rollout,,arithmetic
32,-0.0772125061104695,0.43958703756332396,0.43184107766865054,7.702342635146036e-05,2.0985280574794993,516.7270247936249,rollout,0.4326656460762024,arithmetic
33,-0.042748962497959536,0.43865240534146627,,7.56975500796434e-05,2.074502920849452,528.0720348358154,rollout,,arithmetic
34,-0.033772382500271,0.4386148202419281,0.4317797712647007,7.434680686803493e-05,2.05,550.4047560691833,rollout,0.43032315373420715,arithmetic
35,-0.05617258888979753,0.43777488191922503,,7.297252973710759e-05,2.0250439672954146,516.8717632293701,rollout,,arithmetic
36,-0.030516768656671047,0.4382141904036204,0.4322910453338409,7.157607493247112e-05,1.9996599513451967,530.7588512897491,rollout,0.4296322166919708,arithmetic
37,-0.055233220681548116,0.4370924210548401,,7.015882058642166e-05,1.973873511701698,506.93615651130676,rollout,,arithmetic
38,-0.03472512823839982,0.43634265263875327,0.4290178159062634,6.87221653578916e-05,1.9477106131238155,551.0170021057129,rollout,0.4295448958873749,arithmetic
39,-0.022607028037309646,0.4359573757648468,,6.726752705214197e-05,1.9211975994326846,513.9706332683563,rollout,,arithmetic
40,-0.05354152247309685,0.4355668632189433,0.42846736295177834,6.579634122155994e-05,1.8943611669856797,554.2955465316772,rollout,0.42941802740097046,arithmetic
41,-0.03537000752985477,0.43566015203793845,,6.431005974894189e-05,1.8672283377954475,485.23854184150696,rollout,,arithmetic
42,-0.030003097131848334,0.43501644412676493,0.4293620115859085,6.281014941466034e-05,1.8398264323210314,557.5626277923584,rollout,0.42931994795799255,arithmetic
43,-0.024957017128666242,0.43515214006106057,,6.12980904491289e-05,1.8121830419584846,512.8826124668121,rollout,,arithmetic
44,-0.026734414858122668,0.43457248926162717,0.42853765261679655,5.977537507199341e-05,1.7843260012586717,492.09650349617004,rollout,0.4292903244495392,arithmetic
45,-0.02657102990274628,0.43366175293922427,,5.8243506019491463e-05,1.7562833599002374,508.65553069114685,rollout,,arithmetic
46,-0.026678399878243605,0.434368147055308,0.429791366776044,5.67039950614331e-05,1.7280833544459568,509.1971182823181,rollout,0.42935770750045776,arithmetic
47,-0.029098823914925256,0.4346186065673828,,5.515836150926649e-05,1.6997543799109098,529.1585395336151,rollout,,arithmetic
48,-0.024549668425073227,0.43329394737879434,0.4294363212029566,5.3608130716701046e-05,1.6713249611711096,552.6270961761475,rollout,0.4293389320373535,arithmetic
49,-0.03083455316101511,0.43297828872998556,,5.205483257436738e-05,1.6428237242413681,484.29441833496094,rollout,,arithmetic
50,-0.02415462164208293,0.43305938998858134,0.42729134429828264,5.050000000000003e-05,1.6142793674513272,507.60032987594604,rollout,0.4294673204421997,arithmetic
51,-0.028978405507902306,0.432406564950943,,4.894516742563268e-05,1.5857206325486728,521.2103793621063,rollout,,arithmetic
52,-0.021563843923310438,0.432481564283371,0.4300077954030712,4.739186928329902e-05,1.557176275758632,502.2011544704437,rollout,0.42684003710746765,arithmetic
53,-0.026569024970134098,0.4323993007342021,,4.584163849073357e-05,1.52867503882889,512.8263742923737,rollout,,arithmetic
54,-0.022740582767874003,0.4314285945892334,0.42595475869165966,4.429600493856697e-05,1.5002456200890901,512.3966333866119,rollout,0.4267590045928955,arithmetic
55,-0.024850977224608262,0.43178702195485436,,4.275649398050859e-05,1.4719166455540433,543.712682723999,rollout,,arithmetic
56,-0.0289572499319911,0.4312599436442057,0.42747775370662566,4.122462492800665e-05,1.4437166400997627,475.4480051994324,rollout,0.4266078770160675,arithmetic
