epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.26836932135373354,0.5649460629224777,0.5246319229481742,0.0001,2.4995468881448666,2090.548836708069,rollout,0.5220761299133301,arithmetic
1,-0.11501651994884014,0.5188573660850525,,9.997557473810373e-05,2.5,2090.7824742794037,rollout,,arithmetic
2,-0.07867153053730726,0.5131174969673157,0.4985241714748554,9.990232305719946e-05,2.4995468881448666,2428.846465110779,rollout,0.5101872682571411,arithmetic
3,0.005197088789194822,0.5083061237335205,,9.978031724785248e-05,2.498188008824696,2255.642963886261,rollout,,arithmetic
4,-0.0540753553994,0.49153251987695695,0.4483160367817618,9.960967771506668e-05,2.4959247303157763,2339.800362110138,rollout,0.45288118720054626,arithmetic
5,-0.09037974937818945,0.4484569360613823,,9.939057285945934e-05,2.492759331547716,2273.606475830078,rollout,,arithmetic
6,-0.07376715113036335,0.4172298735976219,0.4193377419724129,9.912321891107012e-05,2.4886949998087546,2767.2056312561035,rollout,0.41666552424430847,arithmetic
7,-0.04713490452244878,0.41927176630496976,,9.880787971596802e-05,2.483735827536436,2572.0534155368805,rollout,,arithmetic
8,-0.04353928146325052,0.41581250381469725,0.40829196746926755,9.844486647586726e-05,2.4778868081968666,3230.164132118225,rollout,0.4165720045566559,arithmetic
9,-0.02729804556258023,0.417596230328083,,9.80345374410087e-05,2.4711538312567205,2579.4446227550507,rollout,,arithmetic
10,-0.04719946349225938,0.4221692218780518,0.42387393390526995,9.757729755661012e-05,2.463543676253048,3363.506394147873,rollout,0.4163873791694641,arithmetic
11,-0.050056082177907225,0.4158793315887451,,9.707359806323419e-05,2.4550640059668507,3051.750842809677,rollout,,arithmetic
12,-0.04788062163535506,0.4123015854358673,0.4124142549117096,9.652393605146847e-05,2.4457233587073173,2400.4739348888397,rollout,0.4102128744125366,arithmetic
13,-0.04440167892538011,0.41247126227617265,,9.592885397135708e-05,2.435531139714465,2417.6504542827606,rollout,,arithmetic
14,-0.044728917736560105,0.42382655245065687,0.47435037459945306,9.5288939097068e-05,2.424497611688863,2298.742841243744,rollout,0.41050106287002563,arithmetic
15,-0.03730848449468613,0.4205599293708801,,9.460482294732424e-05,2.4126338844579593,2254.5510618686676,rollout,,arithmetic
16,-0.04640120993182063,0.4048874368071556,0.4059645509114489,9.387718066217127e-05,2.399951903789431,2437.8483743667603,rollout,0.40280386805534363,arithmetic
17,-0.04289787018764764,0.4034742935299873,,9.310673033669524e-05,2.3864644393628067,2664.7524285316467,rollout,,arithmetic
18,-0.024635761866346,0.40782756024599076,0.39358335168799385,9.229423231234978e-05,2.3721850719114794,2589.514293909073,rollout,0.40226632356643677,arithmetic
19,-0.046354007763788105,0.4033030373454094,,9.144048842659084e-05,2.357128179548063,2462.016387462616,rollout,,arithmetic
20,-0.03164876340888441,0.4025757278203964,0.39781596465036273,9.054634122155993e-05,2.3413089232868494,2459.2581157684326,rollout,0.40197598934173584,arithmetic
21,-0.030314564396627247,0.39836857402324677,,8.961267311259669e-05,2.324743231777953,3042.418613910675,rollout,,arithmetic
22,-0.024774011521600185,0.40156351429224013,0.39350948279025033,8.864040551740159e-05,2.3074477852685087,2651.80131316185,rollout,0.3965455889701843,arithmetic
23,-0.04000989125110209,0.39909686529636385,,8.763049794670778e-05,2.2894399988070804,3091.244676589966,rollout,,arithmetic
24,0.0023965648841112854,0.41196656185388564,0.44862173980800435,8.65839470573599e-05,2.2707380047081793,2357.6334698200226,rollout,0.3964533805847168,arithmetic
25,-0.018427659600973128,0.4140022072196007,,8.550178566873413e-05,2.251360634294563,2199.7203562259674,rollout,,arithmetic
26,-0.008547417239286006,0.407293792963028,0.40085809299489483,8.438508174347012e-05,2.231327398935689,2142.214414358139,rollout,0.3966354727745056,arithmetic
27,-0.015782943640835583,0.39954047924280167,,8.32349373335208e-05,2.2106584704014187,1977.0898900032043,rollout,,arithmetic
28,-0.014729774602223187,0.3984527242183685,0.3874580546398647,8.205248749256017e-05,2.1893746605507567,2101.521518945694,rollout,0.39665716886520386,arithmetic
29,-0.01060049901669845,0.39844930535554884,,8.083889915582238e-05,2.16749740037607,1997.3904495239258,rollout,,arithmetic
30,-0.01872895431984216,0.39261921000480654,0.38912640750641003,7.959536998847746e-05,2.1450487184239,2473.015033006668,rollout,0.3878897428512573,arithmetic
31,-0.01795581367891282,0.3996121847033501,,7.83231272036805e-05,2.1220512186140787,2618.164331674576,rollout,,arithmetic
32,-0.02057692097546533,0.39506582254171374,0.38527405660715885,7.702342635146036e-05,2.0985280574794993,2346.504201412201,rollout,0.38827669620513916,arithmetic
33,-0.00645724794594571,0.3917472173571587,,7.56975500796434e-05,2.074502920849452,2618.247472047806,rollout,,arithmetic
34,-0.013268179520964622,0.39364666372537616,0.38397275158786215,7.434680686803493e-05,2.05,2456.282168149948,rollout,0.38831788301467896,arithmetic
35,-0.014889596947468817,0.3883907456994057,,7.297252973710759e-05,2.0250439672954146,2639.603889942169,rollout,,arithmetic
36,-0.0013943693391047418,0.3888025103807449,0.37846454916871153,7.157607493247112e-05,1.9996599513451967,2851.6015372276306,rollout,0.38272997736930847,arithmetic
37,-0.009159715062007308,0.39263668566942217,,7.015882058642166e-05,1.973873511701698,3262.261338710785,rollout,,arithmetic
38,-0.006520562357269228,0.3914517207145691,0.38698143608053215,6.87221653578916e-05,1.9477106131238155,2162.530914545059,rollout,0.38210374116897583,arithmetic
39,-0.009031014481093735,0.3902208758592606,,6.726752705214197e-05,1.9211975994326846,2338.323338031769,rollout,,arithmetic
40,-0.0063277503494173284,0.3904530334472656,0.38069270327105187,6.579634122155994e-05,1.8943611669856797,2367.457040786743,rollout,0.3819979429244995,arithmetic
41,-0.007299814066849649,0.3902892310619354,,6.431005974894189e-05,1.8672283377954475,2981.598731279373,rollout,,arithmetic
42,-0.004410473212134093,0.3946429153084755,0.39711722533684224,6.281014941466034e-05,1.8398264323210314,2587.732664346695,rollout,0.38181841373443604,arithmetic
43,-0.006282204033574089,0.3894529663324356,,6.12980904491289e-05,1.8121830419584846,2862.021556377411,rollout,,arithmetic
44,-0.00398297976073809,0.3866862072944641,0.3844454568461515,5.977537507199341e-05,1.7843260012586717,2524.7060272693634,rollout,0.38161399960517883,arithmetic
45,-0.006066139389295131,0.38600999623537063,,5.8243506019491463e-05,1.7562833599002374,2452.4975748062134,rollout,,arithmetic
46,-0.0044247256009839475,0.3852632114291191,0.3822410046122968,5.67039950614331e-05,1.7280833544459568,2565.5197088718414,rollout,0.3817446231842041,arithmetic
47,-0.008570132642053068,0.3851800614595413,,5.515836150926649e-05,1.6997543799109098,2516.41335272789,rollout,,arithmetic
48,-0.005049470962258056,0.38550542986392977,0.38549872452858835,5.3608130716701046e-05,1.6713249611711096,2621.7231814861298,rollout,0.3817025423049927,arithmetic
49,-0.002551965064369142,0.3841095167398453,,5.205483257436738e-05,1.6428237242413681,2658.708606004715,rollout,,arithmetic
50,-0.005603413176257163,0.386822339117527,0.3946008156053722,5.050000000000003e-05,1.6142793674513272,2365.1859498023987,rollout,0.3821695148944855,arithmetic
51,0.0029157318251673133,0.3921715486645699,,4.894516742563268e-05,1.5857206325486728,2275.520500898361,rollout,,arithmetic
52,-0.0020530455717816948,0.38587853026390073,0.3816624129540287,4.739186928329902e-05,1.557176275758632,2275.258181333542,rollout,0.3812226355075836,arithmetic
