epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.5744470572471618,0.6400757515430451,0.6434638688806444,0.00015,2.5,436.0448851585388,rollout,0.6289085149765015,arithmetic
1,-0.5110513526201248,0.6369579303264618,,0.000149983660918876,2.5,424.6747028827667,rollout,,arithmetic
2,-0.6588768881559371,0.6115446102619171,,0.00014993465084236495,2.5,434.0728051662445,rollout,,arithmetic
3,-0.4220630237460136,0.5401139748096466,,0.00014985299126790623,2.5,730.9958322048187,rollout,0.5194060802459717,arithmetic
4,-0.455601658821106,0.5269474601745605,,0.00014973871801408808,2.5,453.31283831596375,rollout,,arithmetic
5,-0.46905729204416274,0.5264984953403473,0.513886050786823,0.00014959188120493636,2.5,420.1792335510254,rollout,,arithmetic
6,-0.39567004069685935,0.5187286531925202,,0.0001494125452479286,2.5,409.9512069225311,rollout,0.5150167346000671,arithmetic
7,-0.4208138927817345,0.5208537709712983,,0.00014920078880574262,2.5,407.54277205467224,rollout,,arithmetic
8,-0.40232819274067877,0.5178225576877594,,0.0001489567047617526,2.5,416.4369258880615,rollout,,arithmetic
9,-0.3549196277558804,0.5141340827941895,,0.0001486804001792873,2.5,430.66487860679626,rollout,0.5104318857192993,arithmetic
10,-0.562061350941658,0.5135289669036865,0.5076928746129852,0.0001483719962546685,2.5,427.60483050346375,rollout,,arithmetic
11,-0.45772212579846383,0.5103590261936187,,0.00014803162826405042,2.5,375.4999186992645,rollout,,arithmetic
12,-0.4988376697897911,0.5063524544239044,,0.000147659445504083,2.5,409.249783039093,rollout,0.5039024949073792,arithmetic
13,-0.42911225751042364,0.5051888024806976,,0.0001472556112264255,2.5,421.065890789032,rollout,,arithmetic
14,-0.3238481844961643,0.5011070728302002,,0.00014682030256613898,2.5,422.2883961200714,rollout,,arithmetic
15,-0.2207292152941227,0.49977086126804354,0.49428149341838434,0.00014635371046398894,2.5,423.5531859397888,rollout,0.47555315494537354,arithmetic
16,-0.2406654153764248,0.484966459274292,,0.00014585603958269233,2.5,418.9662981033325,rollout,,arithmetic
17,-0.28765047252178194,0.45411492049694063,,0.0001453275082171459,2.5,419.41263222694397,rollout,,arithmetic
18,-0.29339650496840475,0.44254097998142244,,0.0001447683481986747,2.5,440.4532868862152,rollout,0.4182314872741699,arithmetic
19,-0.2396337842941284,0.42582907557487487,,0.00014417880479334328,2.5,417.26535725593567,rollout,,arithmetic
20,-0.24411045864224434,0.41738279461860656,0.4224183970945887,0.00014355913659437375,2.5,434.13076543807983,rollout,,arithmetic
21,-0.19536331571638585,0.4145652145147324,,0.00014290961540871843,2.125,426.8012638092041,rollout,0.4049418270587921,arithmetic
22,-0.24201949566602707,0.406753294467926,,0.00014223052613783623,2.125,424.7726321220398,rollout,,arithmetic
23,-0.23808141015470027,0.40623557090759277,,0.00014152216665272546,2.125,413.3192822933197,rollout,,arithmetic
24,-0.21235257074236868,0.4039934784173965,,0.0001407848476632678,2.125,431.3042414188385,rollout,0.4001960754394531,arithmetic
25,-0.14737667538225652,0.40291936933994293,0.39676089616841637,0.00014001889258194065,2.125,437.968656539917,rollout,,arithmetic
26,-0.131917147859931,0.39940961718559265,,0.00013922463738195773,1.80625,417.43603920936584,rollout,,arithmetic
27,-0.15281354166567326,0.40656165301799774,,0.0001384024304499001,1.80625,438.24726247787476,rollout,0.4001215100288391,arithmetic
28,-0.08371067203581334,0.40231063902378084,,0.00013755263243290237,1.80625,412.77671933174133,rollout,,arithmetic
29,-0.08199253834784032,0.3963972896337509,,0.0001366756160804609,1.80625,443.0411355495453,rollout,,arithmetic
30,-0.13782016590237617,0.397407129406929,0.38778991243452765,0.00013577176608093352,1.80625,402.35342144966125,rollout,0.38702380657196045,arithmetic
31,-0.13607472293078898,0.39058985710144045,,0.00013484147889280255,1.5353124999999999,428.0628807544708,rollout,,arithmetic
32,-0.1273388334736228,0.3947611457109451,,0.000133885162570775,1.5353124999999999,432.6997323036194,rollout,,arithmetic
33,-0.09781988963484764,0.39656209826469424,,0.00013290323658679624,1.5353124999999999,425.0080862045288,rollout,0.3871764540672302,arithmetic
34,-0.054805563576519487,0.3923871475458145,,0.0001318961316460558,1.5353124999999999,424.4114954471588,rollout,,arithmetic
35,-0.07461123820394278,0.3884785324335098,0.39425748713256326,0.00013086428949806583,1.5353124999999999,443.39719104766846,rollout,,arithmetic
36,-0.06686475913971662,0.38838557243347166,,0.00012980816274289512,1.3050156249999998,438.08115339279175,rollout,0.3825281262397766,arithmetic
37,-0.04088700758293271,0.39042464911937713,,0.00012872821463264382,1.3050156249999998,387.9565224647522,rollout,,arithmetic
38,-0.0564772441983223,0.39292974293231964,,0.00012762491886824572,1.3050156249999998,411.4981620311737,rollout,,arithmetic
39,-0.07721341073513031,0.39395150482654573,,0.0001264987593916873,1.3050156249999998,401.96652603149414,rollout,0.3822906017303467,arithmetic
40,-0.05678646624088288,0.3951011544466019,0.40066813593148254,0.00012535023017373493,1.3050156249999998,442.6792366504669,rollout,,arithmetic
41,-0.05791184365749359,0.3988398218154907,,0.00012417983499726285,1.1092632812499998,400.004745721817,rollout,,arithmetic
42,-0.039794705361127856,0.38995027720928194,,0.00012298808723627737,1.1092632812499998,433.92076563835144,rollout,0.3820498287677765,arithmetic
43,-0.038483250178396704,0.3966284042596817,,0.00012177550963073412,1.1092632812499998,417.5103497505188,rollout,,arithmetic
44,-0.028170741535723208,0.3909542804956436,,0.00012054263405724693,1.1092632812499998,433.21742725372314,rollout,,arithmetic
45,-0.051285146698355676,0.3893641370534897,0.3847975149692502,0.00011929000129578925,1.1092632812499998,459.82970118522644,rollout,0.3821338415145874,arithmetic
46,-0.08011069733649492,0.38846487045288086,,0.00011801816079249018,1.2756527734374998,392.34634137153625,rollout,,arithmetic
47,-0.08998539388179778,0.3858844691514969,,0.00011672767041862914,1.2756527734374998,420.83510541915894,rollout,,arithmetic
48,-0.07484624460339546,0.3878065949678421,,0.00011541909622593525,1.2756527734374998,433.66010189056396,rollout,0.38214772939682007,arithmetic
49,-0.07932887617498637,0.3828367018699646,,0.0001140930121982982,1.2756527734374998,419.5852792263031,rollout,,arithmetic
50,-0.059414610266685486,0.38370235443115236,0.3816428204154363,0.00011274999999999999,1.2756527734374998,416.39351415634155,rollout,,arithmetic
51,-0.04586167123168707,0.3869930845499039,,0.00011139064872057777,1.0843048574218748,451.72160959243774,rollout,0.38226863741874695,arithmetic
52,-0.04608770933002233,0.3856438899040222,,0.0001100155546164297,1.0843048574218748,504.88267254829407,rollout,,arithmetic
53,-0.040981893464922904,0.38312097132205963,,0.00010862532084927708,1.0843048574218748,525.5609295368195,rollout,,arithmetic
54,-0.05324354358017445,0.38406243741512297,,0.00010722055722159789,1.0843048574218748,488.94909596443176,rollout,0.3824562430381775,arithmetic
55,-0.05175981597974896,0.38331134140491485,0.37897133217484225,0.00010580187990914709,1.0843048574218748,431.64545011520386,rollout,,arithmetic
56,-0.05409519659355283,0.3844784486293793,,0.00010436991119068164,0.9216591288085936,410.7873339653015,rollout,,arithmetic
57,-0.04068217797204852,0.38362191021442416,,0.00010292527917500849,0.9216591288085936,413.2824945449829,rollout,0.38250118494033813,arithmetic
58,-0.03165300471708179,0.38221129298210144,,0.0001014686175254752,0.9216591288085936,403.35793375968933,rollout,,arithmetic
59,-0.050991941764950754,0.3866953539848328,,0.00010000056518202441,0.9216591288085936,449.58703112602234,rollout,,arithmetic
60,-0.06831609223037959,0.3845018398761749,0.3981414056470385,9.852176608093355e-05,0.9216591288085936,437.94009256362915,rollout,0.38257861137390137,arithmetic
61,-0.060246254671365025,0.38546580672264097,,9.70328688723631e-05,0.7834102594873045,438.1244752407074,rollout,,arithmetic
62,-0.04608070064336062,0.3801117867231369,,9.553452663583726e-05,0.7834102594873045,382.883558511734,rollout,,arithmetic
63,-0.031218800265341996,0.3844729334115982,,9.402739659378163e-05,0.7834102594873045,424.6049315929413,rollout,0.38247182965278625,arithmetic
64,-0.034283566027879714,0.38821558773517606,,9.251213982324381e-05,0.7834102594873045,413.4767415523529,rollout,,arithmetic
65,-0.008589849956333637,0.3903759443759918,0.38507398978981655,9.098942096592304e-05,0.7834102594873045,416.82410168647766,rollout,,arithmetic
66,-0.03276411483064294,0.3881406831741333,,8.945990793663646e-05,0.9009217984104001,418.6627287864685,rollout,0.3823122978210449,arithmetic
67,-0.030721062310039998,0.3835121059417725,,8.792427163034958e-05,0.9009217984104001,406.6026175022125,rollout,,arithmetic
68,-0.03367827285081148,0.38050740540027617,,8.638318562789964e-05,0.9009217984104001,426.10513710975647,rollout,,arithmetic
69,-0.024973112642765045,0.381896812915802,,8.483732590054063e-05,0.9009217984104001,456.4739947319031,rollout,0.38231360912323,arithmetic
70,-0.031933713778853415,0.38431533575057986,0.37475511597585864,8.328737051344018e-05,0.9009217984104001,439.792418718338,rollout,,arithmetic
71,-0.023460660008713604,0.3802304393053055,,8.173399932825747e-05,1.03606006817196,425.39581394195557,rollout,,arithmetic
72,-0.037749584428966046,0.37750816643238067,,8.017789370493382e-05,1.03606006817196,411.2793974876404,rollout,0.37863898277282715,arithmetic
73,-0.03919792078435421,0.3793650734424591,,7.861973620282535e-05,1.03606006817196,421.5220556259155,rollout,,arithmetic
