epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.4290057960152626,0.7029944813251495,0.6962603532592766,0.0001,2.5,2141.779332637787,rollout,0.6943899393081665,arithmetic
1,-0.38227553059657415,0.7011540770530701,,9.99321619703514e-05,2.5,2339.9534907341003,rollout,,arithmetic
2,-0.5033376673857372,0.6679172146320344,0.6208995694178157,9.972883382072952e-05,2.5,2352.5508880615234,rollout,0.6124697923660278,arithmetic
3,-0.406929429769516,0.627018486658732,,9.939057285945931e-05,2.5,2338.515651702881,rollout,,arithmetic
4,-0.4366396822532018,0.6106610186894734,0.5745670578908175,9.891830623632337e-05,2.5,2348.3314599990845,rollout,0.5743785500526428,arithmetic
5,-0.42953474789857865,0.5786877091725667,,9.831332840130886e-05,2.5,2355.687218427658,rollout,,arithmetic
6,-0.4026142519712448,0.5623422340552012,0.5443131066858768,9.75772975566101e-05,2.5,2378.3684599399567,rollout,0.5447079539299011,arithmetic
7,-0.4271283260981242,0.5537456059455872,,9.671223111161148e-05,2.5,2379.9532392024994,rollout,,arithmetic
8,-0.3450853690505028,0.5477048627535502,0.532679018448107,9.572050015330873e-05,2.5,2412.598423719406,rollout,0.5386809706687927,arithmetic
9,-0.28840553840001426,0.5428912421067555,,9.46048229473242e-05,2.0500000000000003,2416.5603902339935,rollout,,arithmetic
10,-0.26336062490940093,0.5402463038762411,0.5319608917925507,9.336825748732971e-05,2.0500000000000003,2406.6586558818817,rollout,0.5339731574058533,arithmetic
11,-0.20976800173521043,0.5382203753789266,,9.201419311329847e-05,1.6810000000000003,2402.915812730789,rollout,,arithmetic
12,-0.23294893195231756,0.5382719814777375,0.5356328783673234,9.054634122155987e-05,1.6810000000000003,2411.313583612442,rollout,0.5346614122390747,arithmetic
13,-0.21307589744528135,0.5370735383033752,,8.896872509212005e-05,1.3784200000000004,2389.5167984962463,rollout,,arithmetic
14,-0.18568107915421328,0.5359911855061849,0.5308807562687434,8.7285668861131e-05,1.3784200000000004,2395.0221362113953,rollout,0.5353403091430664,arithmetic
15,-0.15574350610375404,0.5348276897271474,,8.550178566873408e-05,1.1303044000000004,4128.088944911957,rollout,,arithmetic
16,-0.17545830801129342,0.534644167025884,0.5250524476869032,8.362196501476347e-05,1.1303044000000004,2405.5075187683105,rollout,0.5351020097732544,arithmetic
17,-0.11567416258156299,0.5345036741097768,,8.165135935696695e-05,0.9268496080000004,2405.572111606598,rollout,,arithmetic
18,-0.15534374684095384,0.5337045725186665,0.5295786481001414,7.959536998847741e-05,0.9268496080000004,2419.7790100574493,rollout,0.5346174240112305,arithmetic
19,-0.12509395288924377,0.5339400486151378,,7.745963223324383e-05,0.7600166785600003,2397.8200166225433,rollout,,arithmetic
20,-0.1277280417829752,0.5330048561096191,0.5221154508180916,7.524999999999999e-05,0.7600166785600003,2401.1569216251373,rollout,0.5351601839065552,arithmetic
21,-0.10781225449095169,0.5330167039235433,,7.297252973710755e-05,0.6232136764192003,2384.078390598297,rollout,,arithmetic
22,-0.08436478395015001,0.5313996839523315,0.5241422752151266,7.06334638322521e-05,0.6232136764192003,2388.378863096237,rollout,0.5327019095420837,arithmetic
23,-0.09961594097316265,0.5318099403381348,,6.823921350249236e-05,0.5110352146637444,2348.7621264457703,rollout,,arithmetic
24,-0.08578904118388891,0.5314712031682333,0.5338925946853124,6.579634122155988e-05,0.5110352146637444,2364.3527460098267,rollout,0.5329592227935791,arithmetic
