epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.5663513505458831,0.714497594833374,0.7006472072098404,0.0001,2.5,28.490785121917725,rollout,0.6909104585647583,arithmetic
1,-0.3393865180015564,0.7020800161361694,,9.757729755661011e-05,2.5,23.805334091186523,rollout,0.6908241510391235,arithmetic
2,-0.4514279931783676,0.70318115234375,0.7097238311544061,9.05463412215599e-05,2.5,24.171006202697754,rollout,0.6919476985931396,arithmetic
3,-0.34350942373275756,0.703170518875122,,7.959536998847742e-05,2.5,23.409632921218872,rollout,0.6952572464942932,arithmetic
4,-0.34250628530979155,0.7070975780487061,0.7016718899831176,6.57963412215599e-05,2.5,23.52544355392456,rollout,0.6967524886131287,arithmetic
5,-0.32405486404895784,0.7045611000061035,,5.05e-05,2.5,23.095017671585083,rollout,0.6960204243659973,arithmetic
6,-0.2524383199214935,0.6998300433158875,0.6974466517567635,3.5203658778440106e-05,2.5,23.447441816329956,rollout,0.6965879201889038,arithmetic
7,-0.17023014336824416,0.6995911002159119,,2.1404630011522586e-05,2.5,22.94297957420349,rollout,0.6977505683898926,arithmetic
8,-0.09509427279233933,0.7015172481536865,0.6968843811191618,1.0453658778440107e-05,2.5,23.28784990310669,rollout,0.697975218296051,arithmetic
9,-0.1464955647289753,0.7022994041442872,,3.4227024433899e-06,2.0500000000000003,22.944563388824463,rollout,0.6955058574676514,arithmetic
10,-0.08719501867890359,0.7002674078941346,0.6796650674659759,1e-06,2.0500000000000003,23.217496871948242,rollout,0.6938493251800537,arithmetic
