epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.46776733299096424,0.6496606834729513,0.6479894688236527,0.0001,2.5,317.4760067462921,rollout,0.6013007164001465,arithmetic
1,-0.4556619316339493,0.6203958928585053,,9.997557473810373e-05,2.5,301.804456949234,rollout,,arithmetic
2,-0.33541871572534243,0.5626121012369791,0.5525279090506956,9.990232305719946e-05,2.5,302.56221985816956,rollout,0.5495608448982239,arithmetic
3,-0.40609375953674315,0.5528316354751587,,9.978031724785248e-05,2.5,310.2639842033386,rollout,,arithmetic
4,-0.47459832559029264,0.5501784471670786,0.532926062529441,9.960967771506668e-05,2.5,322.98814511299133,rollout,0.5378459095954895,arithmetic
5,-0.5289275980989139,0.5404153068860372,,9.939057285945934e-05,2.5,310.75780725479126,rollout,,arithmetic
6,-0.38810523788134255,0.5315639889240265,0.5302898468798958,9.912321891107012e-05,2.5,316.26663970947266,rollout,0.5263950228691101,arithmetic
7,-0.3318387737373511,0.5285919070243835,,9.880787971596802e-05,2.5,309.6771938800812,rollout,,arithmetic
8,-0.3387758353352547,0.5260887495676676,0.5196961928158998,9.844486647586726e-05,2.5,323.01100873947144,rollout,0.5213062167167664,arithmetic
9,-0.3269593925277392,0.5230465126037598,,9.80345374410087e-05,2.0500000000000003,321.1145853996277,rollout,,arithmetic
10,-0.4302262701590856,0.49402767995993296,0.4642865612404421,9.757729755661012e-05,2.0500000000000003,328.8406517505646,rollout,0.4591607451438904,arithmetic
11,-0.3098004307846228,0.46843890110651654,,9.707359806323419e-05,1.6810000000000003,319.3961982727051,rollout,,arithmetic
12,-0.2616819881647825,0.45930507441361745,0.4509748787386343,9.652393605146847e-05,1.6810000000000003,323.73587560653687,rollout,0.4492326080799103,arithmetic
13,-0.20680718014637628,0.455852263768514,,9.592885397135708e-05,1.3784200000000004,314.16313338279724,rollout,,arithmetic
14,-0.20270659705003102,0.4528586123387019,0.4478473474737257,9.5288939097068e-05,1.3784200000000004,322.7599890232086,rollout,0.4456717371940613,arithmetic
15,-0.1403532016153137,0.4505706924200058,,9.460482294732424e-05,1.1303044000000004,320.89380645751953,rollout,,arithmetic
16,-0.14196333328882854,0.4475652205944061,0.4372207870474085,9.387718066217127e-05,1.1303044000000004,321.3904685974121,rollout,0.4456626772880554,arithmetic
17,-0.09497000026206176,0.44773426234722136,,9.310673033669524e-05,0.9268496080000004,319.8952808380127,rollout,,arithmetic
18,-0.1020982093612353,0.44732860883076986,0.44402208598330617,9.229423231234978e-05,0.9268496080000004,323.83648777008057,rollout,0.44539880752563477,arithmetic
19,-0.07791732111324867,0.4478951746225357,,9.144048842659084e-05,0.7600166785600003,325.3771376609802,rollout,,arithmetic
20,-0.07810340655346712,0.4459274806578954,0.43420104373944923,9.054634122155993e-05,0.7600166785600003,323.0878384113312,rollout,0.4399202764034271,arithmetic
21,-0.05255036992331346,0.44487998306751253,,8.961267311259669e-05,0.6232136764192003,317.66934990882874,rollout,,arithmetic
22,-0.04855593702445427,0.44522905866305035,0.4344420306151733,8.864040551740159e-05,0.6232136764192003,320.78792572021484,rollout,0.44025424122810364,arithmetic
23,-0.027372249408314626,0.44684104164441424,,8.763049794670778e-05,0.5110352146637444,327.2758574485779,rollout,,arithmetic
24,-0.03467231931785742,0.4452220618724823,0.4435011160094291,8.65839470573599e-05,0.5110352146637444,321.8046123981476,rollout,0.4407042860984802,arithmetic
25,-0.018834337685257198,0.4428122572104136,,8.550178566873413e-05,0.4190488760242704,324.92972135543823,rollout,,arithmetic
26,-0.017308265330890815,0.4445907700061798,0.4434745914186351,8.438508174347012e-05,0.4190488760242704,322.96058225631714,rollout,0.44095802307128906,arithmetic
27,-0.03222395603855451,0.4425304720799128,,8.32349373335208e-05,0.49447767370863904,318.53388595581055,rollout,,arithmetic
28,-0.03481854363034169,0.44334269980589547,0.431964194518514,8.205248749256017e-05,0.49447767370863904,320.83416986465454,rollout,0.44113677740097046,arithmetic
29,-0.04496359958002965,0.44136222422122956,,8.083889915582238e-05,0.583483654976194,326.0251989364624,rollout,,arithmetic
30,-0.034559624480704466,0.4409119059642156,0.4428650721674785,7.959536998847746e-05,0.583483654976194,324.7264754772186,rollout,0.4412166178226471,arithmetic
31,-0.046420492914815745,0.43991959273815157,,7.83231272036805e-05,0.6885107128719089,330.0898153781891,rollout,,arithmetic
32,-0.03635177599266171,0.4397012346982956,0.44075699674431235,7.702342635146036e-05,0.6885107128719089,327.51798605918884,rollout,0.4413990378379822,arithmetic
33,-0.02997263828913371,0.4401752291123072,,7.56975500796434e-05,0.5645787845549654,323.1715598106384,rollout,,arithmetic
34,-0.04082696249708533,0.43956972102324166,0.43345181239419617,7.434680686803493e-05,0.5645787845549654,331.51575756073,rollout,0.4415169954299927,arithmetic
35,-0.04572687254597743,0.44016330778598783,,7.297252973710759e-05,0.666202965774859,434.0792863368988,rollout,,arithmetic
