epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.47602115154266356,0.6512820823987325,0.648914319317555,0.0001,2.5,416.3290112018585,rollout,0.6118159294128418,arithmetic
1,-0.4531039313475291,0.6399040834108989,,9.997557473810373e-05,2.5,371.9240403175354,rollout,,arithmetic
2,-0.43665180961290995,0.5826410436630249,0.5530097304144874,9.990232305719946e-05,2.5,409.9203100204468,rollout,0.5521215200424194,arithmetic
3,-0.29688547213872274,0.5646215097109477,,9.978031724785248e-05,2.5,402.3618059158325,rollout,,arithmetic
4,-0.3416471378008525,0.5558222142855326,0.5474176890274975,9.960967771506668e-05,2.5,216.93931007385254,rollout,0.5436269640922546,arithmetic
5,-0.3846690791845322,0.5462528363863627,,9.939057285945934e-05,2.5,214.48510646820068,rollout,,arithmetic
6,-0.39458810408910117,0.5407781275113424,0.5338363548507914,9.912321891107012e-05,2.5,217.07587242126465,rollout,0.5318371653556824,arithmetic
7,-0.42404567162195844,0.5385692755381266,,9.880787971596802e-05,2.5,213.725754737854,rollout,,arithmetic
8,-0.39364288409550985,0.5346593872706096,0.5237396520824404,9.844486647586726e-05,2.5,215.47526597976685,rollout,0.5240033268928528,arithmetic
9,-0.4707829868793488,0.5336338790257772,,9.80345374410087e-05,2.5,213.59937739372253,rollout,,arithmetic
10,-0.47868928432464597,0.5310266065597534,0.5166938426555134,9.757729755661012e-05,2.5,216.73247408866882,rollout,0.5127316117286682,arithmetic
11,-0.5710314238071441,0.5144734291235605,,9.707359806323419e-05,2.5,214.35809326171875,rollout,,arithmetic
12,-0.41795594135920205,0.4787491206328074,0.4599298409302719,9.652393605146847e-05,2.5,264.0890283584595,rollout,0.4545087516307831,arithmetic
13,-0.3290182326237361,0.4666459572315216,,9.592885397135708e-05,2.5,231.1414213180542,rollout,,arithmetic
14,-0.2675325510899226,0.45921111424764,0.4457874223298859,9.5288939097068e-05,2.5,221.75981783866882,rollout,0.44683024287223816,arithmetic
15,-0.2784001110990842,0.4561865508556366,,9.460482294732424e-05,2.5,217.41201758384705,rollout,,arithmetic
16,-0.24124355405569076,0.4547707470258077,0.4473484115151223,9.387718066217127e-05,2.5,221.3402338027954,rollout,0.4468601942062378,arithmetic
17,-0.19596519167224566,0.452165189186732,,9.310673033669524e-05,2.5,217.31224536895752,rollout,,arithmetic
18,-0.20288441553711892,0.44925455609957377,0.4429901589464862,9.229423231234978e-05,2.5,222.9941921234131,rollout,0.44051027297973633,arithmetic
19,-0.19747230634093285,0.4481309068202972,,9.144048842659084e-05,2.5,239.39505124092102,rollout,,arithmetic
20,-0.19411475852131843,0.44714821219444273,0.4404285820783116,9.054634122155993e-05,2.5,290.71586179733276,rollout,0.4405449628829956,arithmetic
21,-0.18185592000683148,0.4459011741479238,,8.961267311259669e-05,2.5,268.91896319389343,rollout,,arithmetic
22,-0.1608333401878675,0.44490827679634093,0.44111480016727,8.864040551740159e-05,2.5,273.68139147758484,rollout,0.4408677816390991,arithmetic
23,-0.1635142098367214,0.44450719277064005,,8.763049794670778e-05,2.5,218.30245351791382,rollout,,arithmetic
24,-0.16057915056745212,0.44583741346995037,0.4370706237095874,8.65839470573599e-05,2.5,219.61147260665894,rollout,0.43631765246391296,arithmetic
25,-0.13128695771098137,0.443713370958964,,8.550178566873413e-05,2.5,217.7133526802063,rollout,,arithmetic
26,-0.15233938450614612,0.44281168063481646,0.4366997990582604,8.438508174347012e-05,2.5,219.66043615341187,rollout,0.43559712171554565,arithmetic
27,-0.11450215553243955,0.44186233202616376,,8.32349373335208e-05,2.5,220.62279725074768,rollout,,arithmetic
28,-0.1289724357922872,0.4411966605981191,0.43411492244922556,8.205248749256017e-05,2.5,416.2481005191803,rollout,0.43568411469459534,arithmetic
29,-0.1420681611696879,0.4409804634253184,,8.083889915582238e-05,2.5,415.3178849220276,rollout,,arithmetic
30,-0.11873703042666117,0.440501891374588,0.4385064316447824,7.959536998847746e-05,2.5,392.4348464012146,rollout,0.43576839566230774,arithmetic
31,-0.12228232945005099,0.4395107197761536,,7.83231272036805e-05,2.5,224.84262418746948,rollout,,arithmetic
32,-0.12923724581797918,0.4392230308055878,0.4384133263665717,7.702342635146036e-05,2.5,242.7546877861023,rollout,0.4357808232307434,arithmetic
33,-0.10409105738004049,0.43920608202616374,,7.56975500796434e-05,2.5,249.0411717891693,rollout,,arithmetic
34,-0.10850678950548172,0.4388165573279063,0.43532750592567027,7.434680686803493e-05,2.5,366.38813734054565,rollout,0.4331745505332947,arithmetic
35,-0.09346069773038228,0.4383809506893158,,7.297252973710759e-05,2.5,292.0145740509033,rollout,,arithmetic
36,-0.10905245984594027,0.43857037226359047,0.4291237781289965,7.157607493247112e-05,2.5,218.06510043144226,rollout,0.4329479932785034,arithmetic
37,-0.09478844374418259,0.4372917131582896,,7.015882058642166e-05,2.5,217.2752649784088,rollout,,arithmetic
38,-0.09464957252144814,0.4372998801867167,0.4307179745810572,6.87221653578916e-05,2.5,216.1217746734619,rollout,0.4314918518066406,arithmetic
39,-0.10120271295309066,0.43627042134602867,,6.726752705214197e-05,2.5,331.51670241355896,rollout,,arithmetic
40,-0.0989662621418635,0.43680654565493265,0.4319695440790383,6.579634122155994e-05,2.5,355.1263930797577,rollout,0.43115347623825073,arithmetic
41,-0.08805127660433451,0.4358411387602488,,6.431005974894189e-05,2.5,222.0327079296112,rollout,,arithmetic
42,-0.09736249456803003,0.4356072509288788,0.4341872913064435,6.281014941466034e-05,2.5,218.21376967430115,rollout,0.43096810579299927,arithmetic
43,-0.08449517821272214,0.4348249097665151,,6.12980904491289e-05,2.5,213.3602910041809,rollout,,arithmetic
44,-0.06771428893009822,0.4349273955821991,0.4335292539035436,5.977537507199341e-05,2.5,219.55514526367188,rollout,0.43072885274887085,arithmetic
45,-0.07323157774905363,0.43541933337847394,,5.8243506019491463e-05,2.5,271.2557017803192,rollout,,arithmetic
46,-0.07402810476720333,0.4352323043346405,0.4290365803608438,5.67039950614331e-05,2.5,217.37116360664368,rollout,0.4308730363845825,arithmetic
47,-0.058226623609662055,0.4339838635921478,,5.515836150926649e-05,2.5,213.19183659553528,rollout,,arithmetic
