epoch,train_loss,train_cost_arithmetic,val_cost_arithmetic,learning_rate,temperature,time_per_epoch,baseline_type,baseline_value,mean_type
0,-0.1974231989942491,0.5380579922795296,0.511247493152041,0.0001,2.4995468881448666,2619.4467782974243,rollout,0.5097572803497314,arithmetic
1,-0.09146108584664762,0.5002811788022519,,9.997557473810373e-05,2.5,2689.292455434799,rollout,,arithmetic
2,-0.0747242217939347,0.43798330318927764,0.39774725871393457,9.990232305719946e-05,2.4995468881448666,2701.4018557071686,rollout,0.40381669998168945,arithmetic
3,-0.06506704530771822,0.4059494531452656,,9.978031724785248e-05,2.498188008824696,2791.3785762786865,rollout,,arithmetic
4,-0.06823259915877133,0.41627584922313693,0.405775660823565,9.960967771506668e-05,2.4959247303157763,2879.5910494327545,rollout,0.4035781919956207,arithmetic
5,-0.057182920645922425,0.41005817940831185,,9.939057285945934e-05,2.492759331547716,2888.7525186538696,rollout,,arithmetic
6,-0.0266739693521522,0.41047289201617243,0.42209096386795864,9.912321891107012e-05,2.4886949998087546,2760.7731347084045,rollout,0.4031064510345459,arithmetic
7,-0.021556635970715433,0.4199724442660809,,9.880787971596802e-05,2.483735827536436,2786.77290558815,rollout,,arithmetic
8,-0.02502905731089413,0.4133672835230827,0.39807466365164146,9.844486647586726e-05,2.4778868081968666,2793.950834751129,rollout,0.4030521512031555,arithmetic
9,-0.03885896639619023,0.41228700208663943,,9.80345374410087e-05,2.4711538312567205,2831.7016112804413,rollout,,arithmetic
10,-0.013647870928514749,0.4117944197356701,0.3983815443934873,9.757729755661012e-05,2.463543676253048,2824.8467473983765,rollout,0.4029843807220459,arithmetic
11,-0.02289294705307111,0.40456867003440855,,9.707359806323419e-05,2.4550640059668507,2840.0284621715546,rollout,,arithmetic
12,-0.013648254347732291,0.40411189261078834,0.3990858441684395,9.652393605146847e-05,2.4457233587073173,2807.401700735092,rollout,0.3947888910770416,arithmetic
13,-0.02510745469946414,0.40329196894168856,,9.592885397135708e-05,2.435531139714465,2749.3429384231567,rollout,,arithmetic
14,-0.01962708236766048,0.402355386197567,0.3959432374103926,9.5288939097068e-05,2.424497611688863,2837.4921004772186,rollout,0.3947688639163971,arithmetic
15,-0.016889914004597814,0.41550156301259994,,9.460482294732424e-05,2.4126338844579593,2926.2051084041595,rollout,,arithmetic
16,-0.015556340988259762,0.40958504286408426,0.4172908543259837,9.387718066217127e-05,2.399951903789431,2834.051782608032,rollout,0.39467936754226685,arithmetic
17,-0.011120899769943208,0.39798344764113425,,9.310673033669524e-05,2.3864644393628067,2766.8474366664886,rollout,,arithmetic
18,-0.01629065295122564,0.3966750693321228,0.3999332306557335,9.229423231234978e-05,2.3721850719114794,2813.3091044425964,rollout,0.3942103981971741,arithmetic
19,-0.010958545415778644,0.40276732537150384,,9.144048842659084e-05,2.357128179548063,17798.283197641373,rollout,,arithmetic
20,-0.019280452703125776,0.40846767455339433,0.40931287515559234,9.054634122155993e-05,2.3413089232868494,15318.871467590332,rollout,0.3939225971698761,arithmetic
21,-0.003202207821072079,0.40972370132803915,,8.961267311259669e-05,2.324743231777953,18362.263867616653,rollout,,arithmetic
22,-0.015889386255759745,0.4170196265876293,0.40322080987971276,8.864040551740159e-05,2.3074477852685087,13508.227928161621,rollout,0.3941902220249176,arithmetic
23,-0.007257999771623872,0.40079154816269874,,8.763049794670778e-05,2.2894399988070804,2648.4536457061768,rollout,,arithmetic
24,-0.007056237101089209,0.39955455884337426,0.4039601558470167,8.65839470573599e-05,2.2707380047081793,2686.107508420944,rollout,0.3942858874797821,arithmetic
25,-0.013701605007401668,0.41090421605110167,,8.550178566873413e-05,2.251360634294563,2759.1689808368683,rollout,,arithmetic
26,-0.006676626854459755,0.4005968095064163,0.4109804926556535,8.438508174347012e-05,2.231327398935689,2625.990162372589,rollout,0.3946016728878021,arithmetic
27,-0.005295143209863454,0.42307708209753037,,8.32349373335208e-05,2.2106584704014187,2833.680160999298,rollout,,arithmetic
28,-0.0013042626361129805,0.42054045662283895,0.40348739188630134,8.205248749256017e-05,2.1893746605507567,2705.856341123581,rollout,0.3946227431297302,arithmetic
29,-0.008552120144246146,0.41090280953049657,,8.083889915582238e-05,2.16749740037607,10740.124996185303,rollout,,arithmetic
